ID,Parent,Child,TrueOrFalse
0,VENTLUNG,VENTALV,true
1,SAO2,CATECHOL,true
2,ERRCAUTER,HREKG,true
3,VENTLUNG,EXPCO2,true
4,HR,HRBP,true
5,VENTALV,ARTCO2,true
6,VENTTUBE,PRESS,true
7,PVSAT,SAO2,true
8,ERRCAUTER,HRSAT,true
9,INTUBATION,SHUNT,true
10,HR,CO,true
11,LVEDVOLUME,CVP,true
12,DISCONNECT,VENTTUBE,true
13,ARTCO2,EXPCO2,true
14,ANAPHYLAXIS,TPR,true
15,CATECHOL,HR,true
16,LVFAILURE,HISTORY,true
17,HR,HREKG,true
18,LVFAILURE,LVEDVOLUME,true
19,KINKEDTUBE,PRESS,true
20,HYPOVOLEMIA,STROKEVOLUME,true
21,STROKEVOLUME,CO,true
22,PULMEMBOLUS,SHUNT,true
23,BP,ANAPHYLAXIS,false
24,VENTALV,CATECHOL,false
25,PCWP,SAO2,false
26,MINVOLSET,HR,false
27,HREKG,HISTORY,false
28,LVEDVOLUME,VENTTUBE,false
29,HYPOVOLEMIA,PVSAT,false
30,CVP,HR,false
31,PRESS,VENTLUNG,false
32,DISCONNECT,TPR,false
33,HRBP,ERRLOWOUTPUT,false
34,INSUFFANESTH,ANAPHYLAXIS,false
35,ARTCO2,SHUNT,false
36,HYPOVOLEMIA,PCWP,false
37,HRBP,VENTTUBE,false
38,VENTMACH,PULMEMBOLUS,false
39,HISTORY,MINVOL,false
40,KINKEDTUBE,PVSAT,false
41,EXPCO2,FIO2,false
42,VENTMACH,HR,false
43,MINVOLSET,MINVOL,false
44,ARTCO2,INSUFFANESTH,false
45,PCWP,VENTTUBE,false
