ID,Parent,Child,TrueOrFalse
0,CO,BP,true
1,LVFAILURE,STROKEVOLUME,true
2,VENTMACH,VENTTUBE,true
3,HYPOVOLEMIA,LVEDVOLUME,true
4,VENTALV,ARTCO2,true
5,LVEDVOLUME,PCWP,true
6,STROKEVOLUME,CO,true
7,VENTLUNG,MINVOL,true
8,MINVOLSET,VENTMACH,true
9,INTUBATION,PULMEMBOLUS,false
10,STROKEVOLUME,INTUBATION,false
11,HISTORY,MINVOL,false
12,ERRLOWOUTPUT,ARTCO2,false
13,HISTORY,BP,false
14,ERRCAUTER,ARTCO2,false
15,SHUNT,CO,false
16,SHUNT,INTUBATION,false
17,MINVOL,BP,false
18,BP,FIO2,false
19,SHUNT,MINVOLSET,false
20,MINVOLSET,KINKEDTUBE,false
21,ARTCO2,BP,false
22,HRBP,PAP,false
23,CATECHOL,VENTLUNG,false
24,INTUBATION,INSUFFANESTH,false
25,VENTALV,CATECHOL,false
26,DISCONNECT,BP,false
