ID,Parent,Child,TrueOrFalse
0,ERRLOWOUTPUT,HRBP,true
1,HR,HRBP,true
2,HR,HREKG,true
3,LVFAILURE,HISTORY,true
4,KINKEDTUBE,VENTLUNG,true
5,LVEDVOLUME,CVP,true
6,LVFAILURE,STROKEVOLUME,true
7,PULMEMBOLUS,PAP,true
8,VENTLUNG,VENTALV,true
9,LVEDVOLUME,ERRLOWOUTPUT,false
10,INTUBATION,EXPCO2,false
11,EXPCO2,HYPOVOLEMIA,false
12,KINKEDTUBE,HR,false
13,PCWP,VENTLUNG,false
14,CATECHOL,PCWP,false
15,VENTLUNG,FIO2,false
16,ARTCO2,PAP,false
17,LVFAILURE,ARTCO2,false
18,DISCONNECT,PAP,false
19,INTUBATION,CO,false
20,TPR,EXPCO2,false
21,CO,LVEDVOLUME,false
22,INSUFFANESTH,LVEDVOLUME,false
23,LVEDVOLUME,PAP,false
24,PAP,ANAPHYLAXIS,false
25,PVSAT,MINVOL,false
26,PAP,DISCONNECT,false
