ID,Parent,Child,TrueOrFalse
0,STROKEVOLUME,CO,true
1,ERRLOWOUTPUT,HRBP,true
2,HR,CO,true
3,FIO2,PVSAT,true
4,HR,HRBP,true
5,VENTMACH,VENTTUBE,true
6,HYPOVOLEMIA,LVEDVOLUME,true
7,ARTCO2,CATECHOL,true
8,SAO2,CATECHOL,true
9,VENTTUBE,VENTLUNG,true
10,PULMEMBOLUS,PAP,true
11,KINKEDTUBE,VENTLUNG,true
12,INTUBATION,VENTALV,true
13,INTUBATION,PRESS,true
14,ERRCAUTER,HRSAT,true
15,LVEDVOLUME,PCWP,true
16,MINVOLSET,VENTMACH,true
17,LVFAILURE,STROKEVOLUME,true
18,LVFAILURE,LVEDVOLUME,true
19,VENTLUNG,EXPCO2,true
20,LVEDVOLUME,CVP,true
21,TPR,CATECHOL,true
22,DISCONNECT,VENTTUBE,true
23,STROKEVOLUME,PVSAT,false
24,HRSAT,HRBP,false
25,SHUNT,MINVOL,false
26,MINVOL,TPR,false
27,HR,STROKEVOLUME,false
28,VENTALV,SAO2,false
29,PRESS,MINVOL,false
30,SAO2,INTUBATION,false
31,LVFAILURE,CATECHOL,false
32,VENTALV,VENTMACH,false
33,STROKEVOLUME,EXPCO2,false
34,VENTLUNG,INTUBATION,false
35,HREKG,CO,false
36,HRBP,LVEDVOLUME,false
37,SAO2,LVEDVOLUME,false
38,VENTMACH,SAO2,false
39,VENTMACH,INTUBATION,false
40,ERRCAUTER,BP,false
41,HYPOVOLEMIA,ERRCAUTER,false
42,HR,EXPCO2,false
43,ANAPHYLAXIS,INTUBATION,false
44,PCWP,PULMEMBOLUS,false
45,HISTORY,ERRCAUTER,false
