ID,Parent,Child,TrueOrFalse
0,HYPOVOLEMIA,LVEDVOLUME,true
1,HR,CO,true
2,LVFAILURE,LVEDVOLUME,true
3,MINVOLSET,VENTMACH,true
4,KINKEDTUBE,PRESS,true
5,TPR,CATECHOL,true
6,ERRLOWOUTPUT,HRBP,true
7,LVEDVOLUME,CVP,true
8,VENTLUNG,VENTALV,true
9,ANAPHYLAXIS,TPR,true
10,VENTTUBE,VENTLUNG,true
11,TPR,BP,true
12,VENTALV,ARTCO2,true
13,HR,HREKG,true
14,FIO2,PVSAT,true
15,SHUNT,SAO2,true
16,PULMEMBOLUS,SHUNT,true
17,VENTMACH,VENTTUBE,true
18,STROKEVOLUME,CO,true
19,INSUFFANESTH,CATECHOL,true
20,VENTLUNG,MINVOL,true
21,ARTCO2,CATECHOL,true
22,SAO2,CATECHOL,true
23,ERRLOWOUTPUT,VENTALV,false
24,CVP,MINVOL,false
25,PAP,CATECHOL,false
26,HR,EXPCO2,false
27,HYPOVOLEMIA,CO,false
28,VENTALV,EXPCO2,false
29,ARTCO2,TPR,false
30,VENTTUBE,ARTCO2,false
31,EXPCO2,CO,false
32,CVP,TPR,false
33,SHUNT,CVP,false
34,LVFAILURE,PRESS,false
35,HR,ERRCAUTER,false
36,TPR,HREKG,false
37,HRBP,INSUFFANESTH,false
38,KINKEDTUBE,PAP,false
39,MINVOL,VENTALV,false
40,VENTLUNG,HISTORY,false
41,DISCONNECT,INTUBATION,false
42,FIO2,VENTMACH,false
43,VENTMACH,LVFAILURE,false
44,CVP,PVSAT,false
45,STROKEVOLUME,HISTORY,false
