ID,Parent,Child,TrueOrFalse
0,VENTTUBE,VENTLUNG,true
1,PULMEMBOLUS,PAP,true
2,PULMEMBOLUS,SHUNT,true
3,DISCONNECT,VENTTUBE,true
4,CATECHOL,HR,true
5,SHUNT,SAO2,true
6,LVEDVOLUME,PCWP,true
7,INSUFFANESTH,CATECHOL,true
8,ARTCO2,CATECHOL,true
9,SAO2,CATECHOL,true
10,ERRCAUTER,HREKG,true
11,VENTLUNG,MINVOL,true
12,INTUBATION,PRESS,true
13,KINKEDTUBE,VENTLUNG,true
14,STROKEVOLUME,CO,true
15,HYPOVOLEMIA,STROKEVOLUME,true
16,TPR,BP,true
17,CO,BP,true
18,VENTALV,ARTCO2,true
19,INTUBATION,MINVOL,true
20,VENTALV,PVSAT,true
21,FIO2,PVSAT,true
22,MINVOLSET,VENTMACH,true
23,ANAPHYLAXIS,CATECHOL,false
24,VENTALV,SHUNT,false
25,STROKEVOLUME,FIO2,false
26,HYPOVOLEMIA,KINKEDTUBE,false
27,PRESS,PULMEMBOLUS,false
28,HR,VENTMACH,false
29,HYPOVOLEMIA,TPR,false
30,INSUFFANESTH,MINVOLSET,false
31,HYPOVOLEMIA,PVSAT,false
32,LVFAILURE,TPR,false
33,PAP,HRSAT,false
34,SHUNT,VENTMACH,false
35,ARTCO2,MINVOLSET,false
36,HREKG,BP,false
37,PAP,MINVOL,false
38,VENTLUNG,HRBP,false
39,CATECHOL,VENTLUNG,false
40,LVEDVOLUME,STROKEVOLUME,false
41,LVFAILURE,PULMEMBOLUS,false
42,PULMEMBOLUS,PRESS,false
43,INSUFFANESTH,ERRCAUTER,false
44,LVFAILURE,HYPOVOLEMIA,false
45,TPR,ARTCO2,false
