ID,Variable1,Dependency,Variable2
1,AbilityToCope,->,StrangeExperiences
2,Victimisation,->,EcstasyAfterRelease
3,ViolentThoughts,->,Anger
4,Impulsivity,->,PCLRfacet3
5,Impulsivity,->,AggressionDL
6,PCLRfactor2,->,ASPD
7,ASPD,->,GangMember
8,Gender,->,CriminalNetwork
9,GangMember,->,EcstasyDuringPrisonSentence
10,GangMember,->,AlcoholTreatment
11,NegativeAttitude,->,AttitudeDL
12,CriminalAttitude,->,AngerManagement
13,RefuseFailToAttendTherapy,->,DrugTreatment
14,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
15,RefuseFailToAttendTherapy,->,PsychiatricTreatment
16,HazardousDrinkingAfterRelease,->,HazardousDrinkingPT
17,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
18,CannabisBeforePrisonSentence,->,CannabisAfterRelease
19,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
20,EcstasyDuringPrisonSentence,->,EcstasyAfterRelease
21,EcstasyDuringPrisonSentence,->,EcstasyDependence
22,CannabisAfterRelease,->,CannabisPT
23,CocaineAfterRelease,->,CocaineBeforePrisonSentence
24,CocaineAfterRelease,->,CocainePT
25,EcstasyAfterRelease,->,EcstasyBeforePrisonSentence
26,EcstasyAfterRelease,->,EcstasyPT
27,AnyDrugDependence,->,CannabisDependence
28,AnyDrugDependence,->,CocaineDependence
29,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
30,DrugTreatmentGivenRFAT,->,RefuseFailToAttendTherapy
31,DrugTreatmentGivenRFAT,->,DrugTreatment
32,DrugTreatmentGivenRFAT,->,EcstasyPT
33,EcstasyPT,->,SubstanceUse
34,EcstasyPT,->,ThoughtInsertion
35,SubstanceUse,->,CocaineAfterRelease
36,SubstanceUse,->,SubstanceMisuseDL
37,SubstanceMisuseDL,->,AnyDrugDependence
38,Violence,->,prioracq
39,Violence,->,PriorViolentConvictions
40,Violence,->,HazardousDrinkingAfterRelease
41,Violence,->,ViolentConvictions
42,ResponsivenessToTreatment,->,PCLRfactor1
43,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
44,ResponsivenessToTreatment,->,ResponseToTreatGivenDrugDep
45,Anger,->,AngerPT
46,AngerManagementGivenRFAT,->,ViolentThoughts
47,AngerManagementGivenRFAT,->,AngerPT
48,HazardousDrinkingPT,->,AlcoholDependence
49,HazardousDrinkingPT,->,SubstanceUse
50,AngerManagement,->,AngerManagementGivenRFAT
51,AttitudeDL,->,CriminalAttitude
52,SocialWithdraw,->,SocialProtectiveObs
53,ViolentConvRateGivenProt,->,Violence
54,ViolentConvRateGivenProt,->,ViolentConvictionsRate
55,Depression,->,DepressionPT
56,DepressionPT,->,SocialWithdraw
57,Anxiety,->,SymptomsOfMentalIllness
58,Anxiety,->,AnxietyPT
59,ThoughtInsertion,->,Anxiety
60,ThoughtInsertion,->,ThoughtInsertionPT
61,ThoughtInsertionPT,->,MentalIllnessSymptomCount
62,HallucinationsPT,->,Gender
63,HallucinationsPT,->,Hallucinations
64,StrangeExperiences,->,StrangeExperiencesPT
65,ParanoidDelusionsPT,->,ParanoidDelusions
66,ParanoidDelusionsPT,->,PsychiatricTreatmentGivenRFAT
67,PsychiatricTreatment,->,ProblematicLifeEvents
68,PsychiatricTreatmentGivenRFAT,->,RefuseFailToAttendTherapy
69,PsychiatricTreatmentGivenRFAT,->,AnxietyPT
70,PsychiatricTreatmentGivenRFAT,->,PsychiatricTreatment
71,MentalIllnessSymptomCount,->,Anxiety
72,MentalIllnessSymptomCount,->,ParanoidDelusionsPT
73,MentalIllnessSymptomCount,->,MentalIllnessDL
