ID,Variable1,Dependency,Variable2
1,Impulsivity,->,PCLRfacet3
2,ASPD,->,Impulsivity
3,ASPD,->,PCLRfactor2
4,CriminalNetwork,->,GangMember
5,EmploymentOrTraining,->,DomesticStability
6,ComplianceWithSupervision,->,NegativeAttitude
7,NegativeAttitude,->,AttitudeDL
8,CriminalAttitude,->,AttitudeDL
9,SymptomsOfMentalIllness,->,Anxiety
10,SymptomsOfMentalIllness,->,Hallucinations
11,HazardousDrinkingAfterRelease,->,AlcoholDependence
12,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
13,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
14,CocaineBeforePrisonSentence,->,CocaineAfterRelease
15,CannabisDuringPrisonSentence,->,CannabisAfterRelease
16,EcstasyAfterRelease,->,EcstasyPT
17,CannabisDependence,->,AnyDrugDependence
18,CocaineDependence,->,AnyDrugDependence
19,DrugTreatment,->,DrugTreatmentGivenRFAT
20,EcstasyPT,->,SubstanceUse
21,CocainePT,->,SubstanceUse
22,SubstanceUse,->,SubstanceMisuseDL
23,Violence,->,PriorViolentConvictions
24,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
25,ResponsivenessToTreatment,->,ResponseToTreatGivenDrugDep
26,Anger,->,AngerPT
27,AngerManagementGivenRFAT,->,AngerPT
28,AngerManagement,->,AngerManagementGivenRFAT
29,SocialWithdraw,->,SocialProtectiveObs
30,ViolentConvictionsRate,->,ViolentConvRateGivenProt
31,Depression,->,DepressionPT
32,Anxiety,->,AnxietyPT
33,AnxietyPT,->,FinancialDifficulties
34,AnxietyPT,->,Violence
35,AnxietyPT,->,MentalIllnessSymptomCount
36,ThoughtInsertion,->,ThoughtInsertionPT
37,ParanoidDelusions,->,ParanoidDelusionsPT
38,ParanoidDelusionsPT,->,MentalIllnessSymptomCount
39,PsychiatricTreatment,->,PsychiatricTreatmentGivenRFAT
40,PsychiatricTreatmentGivenRFAT,->,AnxietyPT
