ID,Variable1,Dependency,Variable2
1,AbilityToCope,->,Victimisation
2,Victimisation,->,ProblematicLifeEvents
3,ViolentThoughts,->,AngerManagement
4,Impulsivity,->,PCLRfacet3
5,Impulsivity,->,BPD
6,Impulsivity,->,AggressionDL
7,AbuseNeglectAsChild,->,ASPD
8,ASPD,->,Impulsivity
9,ASPD,->,PCLRfactor2
10,FinancialDifficulties,->,CocaineBeforePrisonSentence
11,GangMember,->,CocaineAfterRelease
12,GangMember,->,Anger
13,ComplianceWithSupervision,->,NegativeAttitude
14,NegativeAttitude,->,AttitudeDL
15,CriminalAttitude,->,AttitudeDL
16,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
17,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
18,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
19,CocaineBeforePrisonSentence,->,CocaineAfterRelease
20,CannabisDuringPrisonSentence,->,ASPD
21,CannabisAfterRelease,->,CannabisBeforePrisonSentence
22,CocaineAfterRelease,->,CocainePT
23,EcstasyAfterRelease,->,EcstasyPT
24,EcstasyDependence,->,AnyDrugDependence
25,AnyDrugDependence,->,CannabisDuringPrisonSentence
26,AnyDrugDependence,->,CannabisDependence
27,AnyDrugDependence,->,CocaineDependence
28,CannabisDependence,->,FinancialDifficulties
29,CannabisDependence,->,CocaineDependence
30,DrugTreatment,->,ProblematicLifeEvents
31,DrugTreatment,->,DrugTreatmentGivenRFAT
32,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
33,DrugTreatmentGivenRFAT,->,RefuseFailToAttendTherapy
34,CannabisPT,->,CannabisAfterRelease
35,CannabisPT,->,SubstanceUse
36,SubstanceMisuseDL,->,HazardousDrinkingPT
37,Violence,->,pclrscore
38,Violence,->,DomesticStability
39,Violence,->,ViolentConvictionsRate
40,ViolentConvictions,->,Violence
41,ResponsivenessToTreatment,->,ResponseToTreatGivenDrugDep
42,ResponseToTreatGivenAlcDep,->,ResponsivenessToTreatment
43,Anger,->,AngerPT
44,HazardousDrinkingPT,->,HazardousDrinkingAfterRelease
45,HazardousDrinkingPT,->,SubstanceUse
46,AngerManagement,->,BPD
47,AngerManagement,->,AngerManagementGivenRFAT
48,LivingCircumstances,->,SocialProtectiveObs
49,SocialProtectiveObs,->,SocialWithdraw
50,SocialWithdraw,->,DepressionPT
51,ViolentConvictionsRate,->,SubstanceMisuseDL
52,ViolentConvictionsRate,->,ViolentConvRateGivenProt
53,Depression,->,CocaineBeforePrisonSentence
54,DepressionPT,->,Depression
55,Anxiety,->,AnxietyPT
56,ThoughtInsertion,->,ThoughtInsertionPT
57,ThoughtInsertion,->,MentalIllnessSymptomCount
58,Hallucinations,->,HallucinationsPT
59,StrangeExperiences,->,EmploymentOrTraining
60,StrangeExperiences,->,StrangeExperiencesPT
61,ParanoidDelusions,->,ViolentThoughts
62,ParanoidDelusionsPT,->,ParanoidDelusions
63,ParanoidDelusionsPT,->,MentalIllnessSymptomCount
64,PsychiatricTreatment,->,PsychiatricTreatmentGivenRFAT
65,PsychiatricTreatmentGivenRFAT,->,Depression
66,PsychiatricTreatmentGivenRFAT,->,ParanoidDelusions
67,MentalIllnessSymptomCount,->,MentalIllnessDL
