ID,Variable1,Dependency,Variable2
1,AbilityToCope,->,GangMember
2,ProblematicLifeEvents,->,ViolentThoughts
3,Impulsivity,->,PCLRfacet3
4,Impulsivity,->,AggressionDL
5,BPD,->,AbuseNeglectAsChild
6,AbuseNeglectAsChild,->,CannabisBeforePrisonSentence
7,AbuseNeglectAsChild,->,CocaineBeforePrisonSentence
8,ASPD,->,Impulsivity
9,ASPD,->,PCLRfactor2
10,CriminalNetwork,->,CriminalFamilyBackground
11,CriminalFamilyBackground,->,CriminalAttitude
12,EmploymentOrTraining,->,Anger
13,GangMember,->,NegativeAttitude
14,NegativeAttitude,->,ComplianceWithSupervision
15,NegativeAttitude,->,AttitudeDL
16,CriminalAttitude,->,AttitudeDL
17,SymptomsOfMentalIllness,->,Hallucinations
18,RefuseFailToAttendTherapy,->,AlcoholTreatmentGivenRFAT
19,RefuseFailToAttendTherapy,->,DrugTreatmentGivenRFAT
20,RefuseFailToAttendTherapy,->,AngerManagementGivenRFAT
21,RefuseFailToAttendTherapy,->,PsychiatricTreatmentGivenRFAT
22,HazardousDrinkingAfterRelease,->,AlcoholDependence
23,CannabisBeforePrisonSentence,->,CannabisDuringPrisonSentence
24,CocaineBeforePrisonSentence,->,CocaineDuringPrisonSentence
25,CocaineBeforePrisonSentence,->,CocaineAfterRelease
26,CannabisDuringPrisonSentence,->,CannabisDependence
27,CannabisDuringPrisonSentence,->,DrugTreatment
28,CocaineDuringPrisonSentence,->,CocaineDependence
29,CannabisAfterRelease,->,CannabisBeforePrisonSentence
30,CannabisAfterRelease,->,CannabisPT
31,CocaineAfterRelease,->,CocainePT
32,EcstasyAfterRelease,->,EcstasyBeforePrisonSentence
33,EcstasyAfterRelease,->,EcstasyPT
34,EcstasyDependence,->,AnyDrugDependence
35,CannabisDependence,->,GangMember
36,CannabisDependence,->,AnyDrugDependence
37,CocaineDependence,->,AnyDrugDependence
38,DrugTreatment,->,DrugTreatmentGivenRFAT
39,AlcoholTreatment,->,AlcoholTreatmentGivenRFAT
40,EcstasyPT,->,AbuseNeglectAsChild
41,EcstasyPT,->,EcstasyDuringPrisonSentence
42,EcstasyPT,->,SubstanceUse
43,CannabisPT,->,SubstanceUse
44,SubstanceUse,->,SubstanceMisuseDL
45,SubstanceUse,->,HazardousDrinkingPT
46,SubstanceMisuseDL,->,Stress
47,Violence,->,ViolentConvictions
48,ResponsivenessToTreatment,->,ResponseToTreatGivenAlcDep
49,ResponseToTreatGivenDrugDep,->,ResponsivenessToTreatment
50,Anger,->,AngerPT
51,AngerPT,->,Victimisation
52,AngerManagementGivenRFAT,->,AngerPT
53,HazardousDrinkingPT,->,CriminalFamilyBackground
54,HazardousDrinkingPT,->,HazardousDrinkingAfterRelease
55,AngerManagement,->,AngerManagementGivenRFAT
56,AggressionDL,->,ViolentThoughts
57,LivingCircumstances,->,SocialProtectiveObs
58,SocialWithdraw,->,DomesticStability
59,SocialWithdraw,->,SocialProtectiveObs
60,ViolentConvictionsRate,->,ViolentConvRateGivenProt
61,ViolentConvRateGivenProt,->,Violence
62,DepressionPT,->,SocialWithdraw
63,DepressionPT,->,Depression
64,Anxiety,->,FinancialDifficulties
65,Anxiety,->,AnxietyPT
66,ThoughtInsertion,->,ThoughtInsertionPT
67,Hallucinations,->,CocaineDependence
68,Hallucinations,->,HallucinationsPT
69,StrangeExperiencesPT,->,StrangeExperiences
70,ParanoidDelusionsPT,->,SymptomsOfMentalIllness
71,ParanoidDelusionsPT,->,ParanoidDelusions
72,ParanoidDelusionsPT,->,MentalIllnessSymptomCount
73,PsychiatricTreatment,->,PsychiatricTreatmentGivenRFAT
74,PsychiatricTreatmentGivenRFAT,->,ThoughtInsertionPT
75,PsychiatricTreatmentGivenRFAT,->,HallucinationsPT
76,MentalIllnessSymptomCount,->,DepressionPT
77,MentalIllnessSymptomCount,->,Anxiety
78,MentalIllnessSymptomCount,->,AnxietyPT
79,MentalIllnessSymptomCount,->,MentalIllnessDL
