ID,Variable1,Variable2,TrueOrFalse
0,DepressionPT,MentalIllnessSymptomCount,true
1,CriminalNetwork,GangMember,true
2,GangMember,Victimisation,true
3,Education,EmploymentOrTraining,true
4,DrugTreatmentGivenRFAT,CannabisPT,true
5,AbuseNeglectAsChild,BPD,true
6,ASPD,Impulsivity,true
7,HazardousDrinkingPT,SubstanceUse,true
8,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
9,Violence,prioracq,true
10,LivingCircumstances,DomesticStability,true
11,Violence,PriorViolentConvictions,true
12,CocaineDuringPrisonSentence,CocaineAfterRelease,true
13,CriminalAttitude,AttitudeDL,true
14,AngerManagementGivenRFAT,AngerPT,true
15,CocainePT,SubstanceUse,true
16,ResponsivenessToTreatment,AngerPT,true
17,EcstasyDuringPrisonSentence,EcstasyDependence,true
18,LivingCircumstances,SocialProtectiveObs,true
19,Victimisation,ProblematicLifeEvents,true
20,SymptomsOfMentalIllness,ParanoidDelusions,true
21,ResponseToTreatGivenDrugDep,CocainePT,true
22,EcstasyDependence,AnyDrugDependence,true
23,ASPD,PCLRfactor2,true
24,Impulsivity,PCLRfacet3,true
25,PsychiatricTreatmentGivenRFAT,ParanoidDelusionsPT,true
26,EcstasyDuringPrisonSentence,EcstasyAfterRelease,true
27,CocaineDependence,AnyDrugDependence,true
28,Anger,GangMember,false
29,StrangeExperiences,DepressionPT,false
30,ParanoidDelusionsPT,Victimisation,false
31,Education,FinancialDifficulties,false
32,AnyDrugDependence,PsychiatricTreatment,false
33,AnxietyPT,PriorViolentConvictions,false
34,TimeAtRisk,HazardousDrinkingPT,false
35,DepressionPT,ResponseToTreatGivenAlcDep,false
36,AlcoholTreatmentGivenRFAT,AngerPT,false
37,Education,BPD,false
38,Stress,Intelligence,false
39,PCLRfactor2,AnyDrugDependence,false
40,CocainePT,GangMember,false
41,EcstasyAfterRelease,DepressionPT,false
42,SubstanceMisuseDL,pclrscore,false
43,ASPD,Hallucinations,false
44,GangMember,ViolentConvictionsRate,false
45,SocialProtectiveObs,AnyDrugDependence,false
46,EcstasyAfterRelease,Intelligence,false
47,DomesticStability,AlcoholTreatment,false
48,SymptomsOfMentalIllness,CannabisDependence,false
49,AggressionDL,EmploymentOrTraining,false
50,HallucinationsPT,HazardousDrinkingAfterRelease,false
51,MentalIllnessDL,SocialProtectiveObs,false
52,ResponsivenessToTreatment,Age,false
53,PriorViolentConvictions,ParanoidDelusions,false
54,HallucinationsPT,PCLRfactor1,false
55,AttitudeDL,SubstanceMisuseDL,false
