ID,Variable1,Variable2,TrueOrFalse
0,ResponseToTreatGivenDrugDep,CannabisPT,true
1,CocainePT,SubstanceUse,true
2,PsychiatricTreatmentGivenRFAT,AnxietyPT,true
3,ResponseToTreatGivenDrugDep,EcstasyPT,true
4,HazardousDrinkingPT,SubstanceUse,true
5,AngerPT,ViolentThoughts,true
6,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
7,AnxietyPT,MentalIllnessSymptomCount,true
8,ResponsivenessToTreatment,ParanoidDelusionsPT,true
9,HazardousDrinkingAfterRelease,AlcoholDependence,true
10,SubstanceMisuseDL,ViolentConvictionsRate,true
11,SymptomsOfMentalIllness,StrangeExperiences,true
12,AngerManagement,AngerManagementGivenRFAT,true
13,StrangeExperiences,StrangeExperiencesPT,true
14,LivingCircumstances,SocialProtectiveObs,true
15,ViolentConvRateGivenProt,ViolentConvictions,true
16,SymptomsOfMentalIllness,Hallucinations,true
17,CocaineBeforePrisonSentence,CocaineAfterRelease,true
18,ComplianceWithSupervision,NegativeAttitude,true
19,AnxietyPT,FinancialDifficulties,true
20,PsychiatricTreatmentGivenRFAT,ParanoidDelusionsPT,true
21,AggressionDL,ViolentConvictionsRate,true
22,Victimisation,ProblematicLifeEvents,true
23,CannabisDependence,AnyDrugDependence,true
24,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
25,ResponsivenessToTreatment,ResponseToTreatGivenDrugDep,true
26,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
27,ParanoidDelusions,ParanoidDelusionsPT,true
28,Violence,CannabisAfterRelease,false
29,GangMember,CannabisPT,false
30,CriminalNetwork,ASPD,false
31,prioracq,ThoughtInsertion,false
32,CocainePT,HazardousDrinkingAfterRelease,false
33,LivingCircumstances,Stress,false
34,SubstanceMisuseDL,Anger,false
35,AlcoholTreatment,ThoughtInsertionPT,false
36,Intelligence,ComplianceWithSupervision,false
37,CannabisDuringPrisonSentence,CannabisBeforePrisonSentence,false
38,Violence,CannabisDependence,false
39,AngerManagement,ViolentConvRateGivenProt,false
40,ComplianceWithSupervision,CannabisPT,false
41,CriminalNetwork,PCLRfacet3,false
42,HazardousDrinkingAfterRelease,ViolentConvictions,false
43,EcstasyDependence,CannabisBeforePrisonSentence,false
44,StrangeExperiencesPT,Impulsivity,false
45,MentalIllnessDL,StrangeExperiencesPT,false
46,CriminalNetwork,AngerPT,false
47,Violence,AlcoholTreatment,false
48,ComplianceWithSupervision,Intelligence,false
49,AngerPT,ThoughtInsertionPT,false
50,Depression,CannabisDuringPrisonSentence,false
51,ThoughtInsertion,EcstasyBeforePrisonSentence,false
52,CocaineDependence,MentalIllnessSymptomCount,false
53,ThoughtInsertion,MentalIllnessSymptomCount,false
54,RefuseFailToAttendTherapy,AngerManagement,false
55,ParanoidDelusionsPT,LivingCircumstances,false
