ID,Variable1,Variable2,TrueOrFalse
0,Violence,pclrscore,true
1,ResponsivenessToTreatment,ThoughtInsertionPT,true
2,ViolentConvRateGivenProt,ViolentConvictions,true
3,ResponseToTreatGivenDrugDep,CannabisPT,true
4,CriminalNetwork,CriminalAttitude,true
5,Impulsivity,AggressionDL,true
6,HazardousDrinkingAfterRelease,HazardousDrinkingPT,true
7,Impulsivity,PCLRfacet3,true
8,Education,Intelligence,true
9,SymptomsOfMentalIllness,ThoughtInsertion,true
10,CriminalNetwork,NegativeAttitude,true
11,CocaineAfterRelease,CocainePT,true
12,PsychiatricTreatmentGivenRFAT,ThoughtInsertionPT,true
13,SymptomsOfMentalIllness,Anxiety,true
14,AngerManagementGivenRFAT,AngerPT,true
15,ResponsivenessToTreatment,ResponseToTreatGivenDrugDep,true
16,Intelligence,AbilityToCope,true
17,Hallucinations,HallucinationsPT,true
18,ViolentConvictionsRate,ViolentConvRateGivenProt,true
19,SymptomsOfMentalIllness,Depression,true
20,ResponseToTreatGivenDrugDep,CocainePT,true
21,ResponsivenessToTreatment,ResponseToTreatGivenAlcDep,true
22,GangMember,Victimisation,true
23,EcstasyAfterRelease,EcstasyPT,true
24,GangMember,CriminalAttitude,true
25,ASPD,Impulsivity,true
26,CannabisDependence,AnyDrugDependence,true
27,AnxietyPT,FinancialDifficulties,true
28,AlcoholDependence,CriminalFamilyBackground,false
29,LivingCircumstances,PriorViolentConvictions,false
30,ResponseToTreatGivenDrugDep,Gender,false
31,DepressionPT,CocaineDuringPrisonSentence,false
32,Age,Violence,false
33,DomesticStability,SubstanceMisuseDL,false
34,AnxietyPT,CocaineAfterRelease,false
35,PsychiatricTreatmentGivenRFAT,ASPD,false
36,DrugTreatmentGivenRFAT,EcstasyAfterRelease,false
37,RefuseFailToAttendTherapy,DomesticStability,false
38,ThoughtInsertion,Anxiety,false
39,Age,HallucinationsPT,false
40,ParanoidDelusions,Anger,false
41,PCLRfactor2,PCLRfacet3,false
42,Age,AngerPT,false
43,DrugTreatment,Stress,false
44,GangMember,DrugTreatment,false
45,AlcoholTreatmentGivenRFAT,TimeAtRisk,false
46,AnxietyPT,AngerManagementGivenRFAT,false
47,DomesticStability,Intelligence,false
48,CocaineAfterRelease,Impulsivity,false
49,FinancialDifficulties,ViolentConvRateGivenProt,false
50,Education,StrangeExperiencesPT,false
51,ASPD,CannabisBeforePrisonSentence,false
52,AlcoholTreatment,EcstasyDuringPrisonSentence,false
53,DrugTreatment,MentalIllnessDL,false
54,TimeAtRisk,LivingCircumstances,false
55,Gender,CocaineDependence,false
