ID,Variable1,Variable2,TrueOrFalse
0,ParanoidDelusionsPT,MentalIllnessSymptomCount,true
1,CriminalNetwork,NegativeAttitude,true
2,SocialWithdraw,CriminalNetwork,true
3,EmploymentOrTraining,FinancialDifficulties,true
4,HazardousDrinkingAfterRelease,HazardousDrinkingPT,true
5,ViolentConvictions,Violence,true
6,ResponsivenessToTreatment,ResponseToTreatGivenDrugDep,true
7,PsychiatricTreatment,PsychiatricTreatmentGivenRFAT,true
8,DrugTreatmentGivenRFAT,CocainePT,true
9,EcstasyDuringPrisonSentence,EcstasyDependence,true
10,CocaineDuringPrisonSentence,CocaineAfterRelease,true
11,Impulsivity,AggressionDL,true
12,SymptomsOfMentalIllness,Depression,true
13,CriminalFamilyBackground,CriminalNetwork,true
14,SubstanceMisuseDL,ViolentConvictionsRate,true
15,CriminalNetwork,GangMember,true
16,EcstasyBeforePrisonSentence,EcstasyAfterRelease,true
17,CocaineBeforePrisonSentence,CocaineAfterRelease,true
18,Violence,pclrscore,true
19,ThoughtInsertion,ThoughtInsertionPT,true
20,ResponseToTreatGivenAlcDep,HazardousDrinkingPT,true
21,CocaineAfterRelease,CocainePT,true
22,AbuseNeglectAsChild,BPD,true
23,Education,EmploymentOrTraining,true
24,ResponsivenessToTreatment,AngerPT,true
25,ASPD,PCLRfactor2,true
26,CannabisPT,SubstanceUse,true
27,AlcoholTreatment,AlcoholTreatmentGivenRFAT,true
28,CannabisDuringPrisonSentence,AbilityToCope,false
29,CannabisDependence,AngerManagement,false
30,CocaineDuringPrisonSentence,GangMember,false
31,ASPD,ViolentConvictionsRate,false
32,HallucinationsPT,CocainePT,false
33,CriminalFamilyBackground,CocaineBeforePrisonSentence,false
34,AbilityToCope,SubstanceMisuseDL,false
35,Violence,AlcoholDependence,false
36,DomesticStability,AngerManagementGivenRFAT,false
37,Education,AggressionDL,false
38,CannabisDuringPrisonSentence,CocaineBeforePrisonSentence,false
39,DomesticStability,ThoughtInsertionPT,false
40,SubstanceMisuseDL,AbilityToCope,false
41,CocaineDuringPrisonSentence,CannabisDuringPrisonSentence,false
42,SubstanceUse,ViolentConvRateGivenProt,false
43,GangMember,EcstasyDependence,false
44,PCLRfactor2,ResponseToTreatGivenDrugDep,false
45,AlcoholDependence,CocaineAfterRelease,false
46,CriminalAttitude,AlcoholDependence,false
47,HallucinationsPT,CannabisBeforePrisonSentence,false
48,CocaineDependence,ParanoidDelusionsPT,false
49,AngerManagement,BPD,false
50,GangMember,Hallucinations,false
51,ResponsivenessToTreatment,AnyDrugDependence,false
52,MentalIllnessDL,ASPD,false
53,EcstasyDuringPrisonSentence,PCLRfactor1,false
54,ThoughtInsertionPT,ASPD,false
55,MentalIllnessSymptomCount,AlcoholDependence,false
