ID,Variable1,Variable2,TrueOrFalse
0,propertyPurchaseValue,capitalGains,true
1,interest,interestTaxRelief,true
2,otherPropertyExpenses,otherPropertyExpensesT+1,true
3,propertyPurchaseValue,LTV,true
4,borrowing,interest,true
5,interestTaxRelief,netProfit,true
6,rentalGrossProfit,stampDutyTax,false
7,rentalNetProfitBeforeInterest,actualRentalIncome,false
8,propertyExpensesGrowth,propertyManagement,false
9,netProfit,propertyExpenses,false
10,propertyManagement,interestRate,false
11,interest,rentalIncome,false
