ID,Parent,Child,TrueOrFalse
0,X314,X361,true
1,X75,X149,true
2,X159,X376,true
3,X224,X265,true
4,X236,X427,true
5,X335,X485,true
6,X126,X370,true
7,X281,X390,true
8,X26,X230,true
9,X204,X491,true
10,X226,X353,true
11,X19,X335,true
12,X163,X203,true
13,X22,X274,true
14,X209,X368,true
15,X95,X284,true
16,X10,X224,true
17,X120,X385,true
18,X7,X45,true
19,X192,X450,true
20,X312,X476,true
21,X394,X428,true
22,X163,X185,true
23,X122,X396,true
24,X128,X209,true
25,X323,X493,true
26,X29,X135,true
27,X107,X334,true
28,X337,X485,true
29,X301,X447,true
30,X64,X289,true
31,X227,X494,true
32,X352,X490,true
33,X492,X495,true
34,X280,X427,true
35,X157,X197,true
36,X295,X490,true
37,X337,X443,true
38,X309,X421,true
39,X52,X118,true
40,X10,X84,true
41,X20,X113,true
42,X56,X362,true
43,X179,X308,true
44,X40,X460,true
45,X183,X388,true
46,X82,X323,true
47,X193,X309,true
48,X138,X315,true
49,X68,X465,true
50,X55,X365,true
51,X122,X338,true
52,X150,X414,true
53,X35,X344,true
54,X83,X286,true
55,X321,X475,true
56,X82,X247,true
57,X352,X378,true
58,X273,X274,true
59,X224,X463,true
60,X129,X358,true
61,X20,X289,true
62,X214,X405,true
63,X225,X481,true
64,X184,X353,true
65,X318,X389,true
66,X162,X488,true
67,X402,X488,true
68,X119,X141,true
69,X115,X289,true
70,X207,X448,true
71,X27,X383,true
72,X29,X200,true
73,X43,X289,true
74,X220,X461,true
75,X90,X466,true
76,X304,X389,true
77,X66,X186,true
78,X139,X455,true
79,X395,X419,true
80,X306,X476,true
81,X199,X242,true
82,X236,X420,true
83,X57,X345,true
84,X61,X325,true
85,X158,X387,true
86,X56,X455,true
87,X213,X218,true
88,X61,X113,true
89,X58,X391,true
90,X81,X493,true
91,X137,X190,true
92,X76,X376,true
93,X179,X209,true
94,X178,X184,true
95,X279,X348,true
96,X71,X88,true
97,X77,X455,true
98,X190,X289,true
99,X151,X183,true
100,X211,X423,true
101,X209,X266,true
102,X311,X469,true
103,X41,X202,true
104,X229,X467,true
105,X286,X294,true
106,X238,X497,true
107,X154,X234,true
108,X74,X401,true
109,X7,X64,true
110,X223,X254,true
111,X103,X244,true
112,X22,X52,true
113,X213,X458,true
114,X151,X405,true
115,X126,X308,true
116,X54,X433,true
117,X147,X456,true
118,X8,X336,true
119,X9,X401,true
120,X139,X292,true
121,X253,X378,true
122,X66,X375,true
123,X67,X175,true
124,X350,X406,true
125,X212,X350,true
126,X176,X331,true
127,X347,X470,true
128,X255,X430,true
129,X386,X439,true
130,X479,X490,true
131,X284,X415,true
132,X69,X467,true
133,X247,X487,true
134,X126,X318,true
135,X1,X234,true
136,X406,X474,true
137,X223,X252,true
138,X73,X120,true
139,X149,X210,true
140,X326,X386,true
141,X317,X441,true
142,X65,X153,true
143,X162,X432,true
144,X296,X443,true
145,X176,X392,true
146,X242,X346,true
147,X469,X470,true
148,X248,X282,true
149,X255,X389,true
150,X119,X488,true
151,X426,X494,true
152,X271,X407,true
153,X324,X488,true
154,X110,X169,true
155,X170,X302,true
156,X155,X252,true
157,X332,X373,true
158,X24,X125,true
159,X10,X30,true
160,X304,X382,true
161,X158,X166,true
162,X386,X499,true
163,X74,X344,true
164,X304,X362,true
165,X34,X397,true
166,X61,X88,true
167,X165,X296,true
168,X147,X457,true
169,X37,X265,true
170,X93,X111,true
171,X231,X293,true
172,X33,X355,true
173,X196,X492,true
174,X264,X491,true
175,X249,X326,true
176,X229,X282,true
177,X231,X303,true
178,X177,X342,true
179,X182,X348,true
180,X274,X308,true
181,X18,X127,true
182,X232,X364,true
183,X411,X442,true
184,X11,X322,true
185,X87,X251,true
186,X41,X53,true
187,X225,X256,true
188,X197,X420,true
189,X362,X392,true
190,X19,X430,true
191,X162,X475,true
192,X97,X398,true
193,X295,X324,true
194,X118,X326,true
195,X169,X313,true
196,X147,X269,true
197,X190,X486,true
198,X208,X285,true
199,X193,X277,true
200,X90,X114,true
201,X21,X236,true
202,X30,X165,true
203,X149,X262,true
204,X111,X251,true
205,X277,X361,true
206,X64,X207,true
207,X308,X457,true
208,X279,X291,true
209,X5,X243,true
210,X455,X459,true
211,X342,X471,true
212,X163,X369,true
213,X118,X218,true
214,X165,X337,true
215,X195,X462,true
216,X57,X131,true
217,X346,X474,true
218,X190,X192,true
219,X103,X472,true
220,X136,X201,true
221,X348,X395,true
222,X143,X406,true
223,X106,X357,true
224,X81,X282,true
225,X123,X387,true
226,X390,X450,true
227,X152,X487,true
228,X292,X457,true
229,X265,X458,true
230,X23,X102,true
231,X137,X233,true
