ID,Parent,Child,TrueOrFalse
0,X68,X237,true
1,X56,X348,true
2,X65,X119,true
3,X84,X426,true
4,X221,X322,true
5,X346,X377,true
6,X223,X380,true
7,X98,X318,true
8,X227,X277,true
9,X174,X499,true
10,X351,X387,true
11,X52,X167,true
12,X177,X342,true
13,X126,X256,true
14,X492,X495,true
15,X73,X249,true
16,X164,X320,true
17,X25,X282,true
18,X5,X403,true
19,X287,X326,true
20,X113,X372,true
21,X3,X420,true
22,X53,X358,true
23,X96,X207,true
24,X125,X293,true
25,X149,X498,true
26,X18,X83,true
27,X43,X246,true
28,X232,X402,true
29,X401,X406,true
30,X242,X420,true
31,X113,X274,true
32,X318,X389,true
33,X285,X286,true
34,X201,X259,true
35,X36,X82,true
36,X95,X389,true
37,X43,X295,true
38,X119,X362,true
39,X232,X309,true
40,X245,X343,true
41,X132,X269,true
42,X229,X369,true
43,X358,X416,true
44,X154,X294,true
45,X148,X179,true
46,X100,X394,true
47,X259,X305,true
48,X354,X396,true
49,X188,X340,true
50,X50,X391,true
51,X75,X256,true
52,X393,X491,true
53,X107,X137,true
54,X403,X446,true
55,X99,X131,true
56,X210,X215,true
57,X51,X227,true
58,X191,X384,true
59,X126,X463,true
60,X273,X274,true
61,X119,X307,true
62,X104,X240,true
63,X307,X469,true
64,X101,X326,true
65,X350,X457,true
66,X274,X437,true
67,X177,X283,true
68,X324,X395,true
69,X127,X216,true
70,X42,X340,true
71,X140,X209,true
72,X379,X498,true
73,X23,X163,true
74,X225,X417,true
75,X241,X486,true
76,X94,X410,true
77,X119,X364,true
78,X58,X232,true
79,X6,X201,true
80,X245,X246,true
81,X168,X359,true
82,X287,X410,true
83,X138,X397,true
84,X66,X307,true
85,X95,X351,true
86,X3,X108,true
87,X229,X282,true
88,X2,X484,true
89,X319,X493,true
90,X91,X112,true
91,X209,X311,true
92,X321,X475,true
93,X0,X125,true
94,X357,X492,true
95,X18,X212,true
96,X202,X429,true
97,X71,X493,true
98,X165,X169,true
99,X103,X253,true
100,X112,X451,true
101,X377,X409,true
102,X109,X170,true
103,X302,X407,true
104,X24,X228,true
105,X165,X296,true
106,X292,X433,true
107,X382,X470,true
108,X389,X494,true
109,X194,X470,true
110,X338,X368,true
111,X87,X165,true
112,X5,X377,true
113,X40,X324,true
114,X17,X474,true
115,X309,X479,true
116,X20,X129,true
117,X403,X483,true
118,X377,X407,true
119,X180,X315,true
120,X104,X242,true
121,X380,X487,true
122,X22,X264,true
123,X429,X450,true
124,X198,X496,true
125,X266,X280,true
126,X82,X301,true
127,X43,X218,true
128,X107,X234,true
129,X301,X448,true
130,X213,X401,true
131,X194,X423,true
132,X223,X252,true
133,X74,X315,true
134,X200,X243,true
135,X1,X404,true
136,X138,X213,true
137,X178,X365,true
138,X106,X258,true
139,X136,X148,true
140,X275,X412,true
141,X123,X387,true
142,X240,X400,true
143,X120,X136,true
144,X146,X262,true
145,X235,X395,true
146,X34,X94,true
147,X170,X485,true
148,X1,X231,true
149,X139,X455,true
150,X79,X237,true
151,X236,X354,true
152,X33,X289,true
153,X112,X137,true
154,X21,X426,true
155,X155,X435,true
156,X104,X320,true
157,X396,X407,true
158,X171,X261,true
159,X122,X442,true
160,X118,X277,true
161,X30,X83,true
162,X174,X187,true
163,X212,X403,true
164,X420,X498,true
165,X53,X203,true
166,X128,X158,true
167,X221,X436,true
168,X329,X483,true
169,X468,X483,true
170,X107,X270,true
171,X9,X280,true
172,X17,X198,true
173,X272,X489,true
174,X207,X244,true
175,X47,X229,true
176,X110,X353,true
177,X53,X171,true
178,X305,X471,true
179,X143,X483,true
180,X90,X296,true
181,X209,X256,true
182,X152,X422,true
183,X225,X463,true
184,X254,X331,true
185,X97,X398,true
186,X296,X460,true
187,X93,X156,true
188,X389,X463,true
189,X395,X431,true
190,X113,X185,true
191,X51,X469,true
192,X156,X437,true
193,X10,X259,true
194,X248,X264,true
195,X144,X226,true
196,X415,X499,true
197,X137,X158,true
198,X82,X246,true
199,X115,X147,true
200,X58,X159,true
201,X2,X7,true
202,X115,X445,true
203,X74,X368,true
204,X207,X254,true
205,X171,X426,true
206,X33,X414,true
207,X62,X78,true
208,X306,X476,true
209,X426,X429,true
210,X352,X403,true
211,X96,X192,true
212,X50,X498,true
213,X7,X336,true
214,X132,X212,true
215,X302,X487,true
216,X318,X324,true
217,X208,X475,true
218,X115,X429,true
219,X209,X344,true
220,X144,X239,true
221,X52,X433,true
222,X193,X309,true
223,X126,X498,true
224,X92,X242,true
225,X58,X229,true
226,X324,X358,true
227,X184,X383,true
228,X229,X283,true
229,X81,X499,true
230,X404,X492,true
231,X219,X287,true
232,X206,X237,true
233,X389,X445,true
234,X117,X229,true
235,X203,X246,true
236,X374,X466,true
237,X248,X257,true
238,X300,X479,true
239,X360,X486,true
240,X256,X424,true
241,X194,X474,true
242,X131,X434,true
243,X258,X366,true
244,X296,X345,true
245,X315,X488,true
246,X33,X201,true
