ID,Variable1,Variable2,TrueOrFalse
0,KNW_WatchTV,IMM_Measles,true
1,ECO_WealthQuintile,HOU_ModernWallMaterial,true
2,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
3,ECO_WealthQuintile,MTH_Education,true
4,WSH_SafeStoolDisposal,DIA_HadDiarrhoea,true
5,ECO_WealthQuintile,KNW_WatchTV,true
6,CUL_LanguageGroup,BF_EarlyBreastfeeding,true
7,MTH_Education,IMM_Measles,true
8,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
9,WSH_WaterTreated,DIA_HadDiarrhoea,true
10,FP_ModernMethod,FP_BirthsLast5Yrs,true
11,ECO_WealthQuintile,WSH_ImprovedToilet,true
12,ECO_WealthQuintile,SRV_OKAlone,true
13,WSH_ImprovedToilet,WSH_SafeStoolDisposal,true
14,MTH_Education,DEL_SmallBaby,false
15,CUL_Religion,WSH_WashWithAgent,false
16,CHI_Age,WSH_ImprovedWaterSource,false
17,MTH_Education,BF_BreastfedMonths,false
18,MTH_MaternalAge,CUL_LanguageGroup,false
19,MTH_MaternalAge,SRV_Near,false
20,DIA_HadDiarrhoea,ECO_WealthQuintile,false
21,WSH_WaterTreated,WSH_ImprovedWaterSource,false
22,BF_EarlyBreastfeeding,CUL_LanguageGroup,false
23,IMM_Diptheria,MTH_MaternalAge,false
24,MTH_Education,HOU_ModernWallMaterial,false
25,IMM_Diptheria,WSH_SafeStoolDisposal,false
26,WSH_WashWithAgent,BF_BottleFeeding,false
27,IMM_Diptheria,DEL_SmallBaby,false
