ID,Variable1,Variable2,TrueOrFalse
0,MTH_Education,IMM_VitaminA1,true
1,CUL_LanguageGroup,HOU_ModernWallMaterial,true
2,MTH_Education,SRV_Near,true
3,MTH_Education,IMM_Measles,true
4,MTH_MaternalAge,FP_ModernMethod,true
5,CHI_Age,BF_BottleFeeding,true
6,ECO_WealthQuintile,KNW_WatchTV,true
7,GEO_Region,BF_EarlyBreastfeeding,true
8,WSH_SafeStoolDisposal,DIA_HadDiarrhoea,true
9,MTH_MaternalAge,CHI_Age,true
10,ECO_WealthQuintile,BF_BottleFeeding,true
11,MTH_Education,WSH_WaterTreated,true
12,ECO_WealthQuintile,MTH_Education,true
13,BF_EarlyBreastfeeding,DIA_HadDiarrhoea,true
14,BF_BottleFeeding,WSH_SafeStoolDisposal,false
15,DEL_SmallBaby,CHI_Age,false
16,CHI_Weight4Height,WSH_WashWithAgent,false
17,IMM_Diptheria,BF_EarlyBreastfeeding,false
18,CUL_Religion,DIA_HadDiarrhoea,false
19,DEL_SmallBaby,BF_BottleFeeding,false
20,CUL_LanguageGroup,SRV_OKAlone,false
21,SRV_Near,WSH_WashWithAgent,false
22,BF_BottleFeeding,IMM_VitaminA1,false
23,WSH_ImprovedToilet,SRV_OKAlone,false
24,HOU_ModernWallMaterial,SRV_OKAlone,false
25,FP_BirthsLast5Yrs,SRV_OKAlone,false
26,KNW_WatchTV,BF_BreastfedMonths,false
27,WSH_WaterTreated,FP_ModernMethod,false
