ID,Variable1,Variable2,TrueOrFalse
0,GEO_Region,CUL_Religion,true
1,BF_BottleFeeding,DIA_HadDiarrhoea,true
2,WSH_WashWithAgent,DIA_HadDiarrhoea,true
3,CUL_LanguageGroup,HOU_ModernWallMaterial,true
4,ECO_WealthQuintile,WSH_WashWithAgent,true
5,ECO_WealthQuintile,MTH_Education,true
6,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
7,GEO_Region,CUL_LanguageGroup,true
8,HOU_CookingFuel,WSH_WaterTreated,true
9,CUL_LanguageGroup,WSH_ImprovedWaterSource,true
10,CHI_Age,IMM_Diptheria,true
11,CUL_LanguageGroup,FP_BirthsLast5Yrs,true
12,ECO_WealthQuintile,WSH_ImprovedToilet,true
13,ECO_WealthQuintile,SRV_OKAlone,true
14,CUL_Religion,KNW_WatchTV,false
15,HOU_CookingFuel,CHI_Age,false
16,WSH_WashWithAgent,BF_BottleFeeding,false
17,IMM_Measles,IMM_Diptheria,false
18,CHI_Age,GEO_Region,false
19,WSH_ImprovedWaterSource,HOU_ModernWallMaterial,false
20,MTH_Education,MTH_MaternalAge,false
21,WSH_ImprovedToilet,HOU_ModernWallMaterial,false
22,HOU_ModernWallMaterial,WSH_ImprovedToilet,false
23,DEL_SmallBaby,ECO_WealthQuintile,false
24,WSH_SafeStoolDisposal,KNW_WatchTV,false
25,BF_BreastfedMonths,WSH_WashWithAgent,false
26,BF_BreastfedMonths,IMM_Measles,false
27,DIA_HadDiarrhoea,FP_ModernMethod,false
