ID,Variable1,Variable2,TrueOrFalse
0,GEO_Region,BF_BottleFeeding,true
1,ECO_WealthQuintile,WSH_ImprovedToilet,true
2,CUL_LanguageGroup,HOU_CookingFuel,true
3,ECO_WealthQuintile,DEL_SmallBaby,true
4,BF_EarlyBreastfeeding,DIA_HadDiarrhoea,true
5,ECO_WealthQuintile,SRV_Near,true
6,GEO_Region,CUL_LanguageGroup,true
7,SRV_Near,SRV_OKAlone,true
8,CHI_Age,BF_BreastfedMonths,true
9,WSH_WashWithAgent,DIA_HadDiarrhoea,true
10,CHI_Age,IMM_VitaminA1,true
11,KNW_WatchTV,FP_ModernMethod,true
12,WSH_ImprovedToilet,WSH_WashWithAgent,true
13,GEO_Region,ECO_WealthQuintile,true
14,WSH_WaterTreated,CHI_Weight4Height,false
15,BF_EarlyBreastfeeding,WSH_WashWithAgent,false
16,WSH_ImprovedToilet,BF_BottleFeeding,false
17,WSH_ImprovedToilet,ECO_WealthQuintile,false
18,DIA_HadDiarrhoea,GEO_Region,false
19,FP_ModernMethod,IMM_Diptheria,false
20,BF_EarlyBreastfeeding,WSH_ImprovedToilet,false
21,WSH_WaterTreated,HOU_CookingFuel,false
22,WSH_WashWithAgent,WSH_ImprovedWaterSource,false
23,MTH_MaternalAge,CHI_Weight4Height,false
24,BF_EarlyBreastfeeding,GEO_Region,false
25,BF_BreastfedMonths,HOU_ModernWallMaterial,false
26,IMM_VitaminA1,MTH_Education,false
27,IMM_Measles,WSH_WashWithAgent,false
