ID,Variable1,Variable2,TrueOrFalse
0,BF_EarlyBreastfeeding,DIA_HadDiarrhoea,true
1,ECO_WealthQuintile,WSH_ImprovedToilet,true
2,CUL_LanguageGroup,BF_EarlyBreastfeeding,true
3,ECO_WealthQuintile,WSH_WashWithAgent,true
4,BF_BottleFeeding,DIA_HadDiarrhoea,true
5,ECO_WealthQuintile,CHI_Weight4Height,true
6,CUL_Religion,BF_BreastfedMonths,true
7,IMM_Measles,DIA_HadDiarrhoea,true
8,CHI_Age,BF_BottleFeeding,true
9,CUL_LanguageGroup,ECO_WealthQuintile,true
10,MTH_Education,IMM_Measles,true
11,ECO_WealthQuintile,HOU_CookingFuel,true
12,MTH_Education,WSH_WaterTreated,true
13,ECO_WealthQuintile,BF_BreastfedMonths,true
14,BF_BreastfedMonths,IMM_VitaminA1,false
15,IMM_VitaminA1,CUL_LanguageGroup,false
16,WSH_WaterTreated,IMM_Measles,false
17,IMM_Diptheria,CUL_Religion,false
18,SRV_Near,CUL_Religion,false
19,ECO_WealthQuintile,IMM_Diptheria,false
20,BF_BottleFeeding,WSH_ImprovedWaterSource,false
21,BF_EarlyBreastfeeding,CUL_LanguageGroup,false
22,SRV_Near,WSH_ImprovedWaterSource,false
23,DIA_HadDiarrhoea,BF_BreastfedMonths,false
24,SRV_Near,KNW_WatchTV,false
25,DEL_SmallBaby,HOU_CookingFuel,false
26,WSH_SafeStoolDisposal,IMM_Measles,false
27,WSH_WashWithAgent,FP_BirthsLast5Yrs,false
