ID,Variable1,Variable2,TrueOrFalse
0,GEO_Region,CUL_Religion,true
1,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
2,ECO_WealthQuintile,DEL_SmallBaby,true
3,IMM_VitaminA1,IMM_Measles,true
4,CHI_Age,BF_BottleFeeding,true
5,CUL_LanguageGroup,WSH_ImprovedWaterSource,true
6,CUL_LanguageGroup,FP_BirthsLast5Yrs,true
7,ECO_WealthQuintile,MTH_Education,true
8,CUL_LanguageGroup,HOU_ModernWallMaterial,true
9,GEO_Region,WSH_ImprovedToilet,true
10,WSH_SafeStoolDisposal,DIA_HadDiarrhoea,true
11,DEL_SmallBaby,CHI_Weight4Height,true
12,WSH_ImprovedWaterSource,DIA_HadDiarrhoea,true
13,MTH_MaternalAge,CHI_Age,true
14,BF_BreastfedMonths,HOU_CookingFuel,false
15,WSH_SafeStoolDisposal,WSH_WaterTreated,false
16,CHI_Weight4Height,ECO_WealthQuintile,false
17,IMM_VitaminA1,WSH_WaterTreated,false
18,WSH_WaterTreated,BF_BreastfedMonths,false
19,BF_BreastfedMonths,SRV_Near,false
20,FP_BirthsLast5Yrs,CUL_Religion,false
21,CUL_Religion,HOU_ModernWallMaterial,false
22,WSH_ImprovedToilet,BF_BreastfedMonths,false
23,FP_ModernMethod,SRV_OKAlone,false
24,WSH_ImprovedWaterSource,FP_BirthsLast5Yrs,false
25,IMM_Measles,IMM_VitaminA1,false
26,WSH_WaterTreated,MTH_MaternalAge,false
27,DIA_HadDiarrhoea,WSH_WaterTreated,false
