ID,Variable1,Variable2,TrueOrFalse
0,CUL_LanguageGroup,MTH_Education,true
1,CHI_Age,BF_BottleFeeding,true
2,MTH_Education,SRV_Near,true
3,ECO_WealthQuintile,CHI_Weight4Height,true
4,WSH_SafeStoolDisposal,DIA_HadDiarrhoea,true
5,HOU_CookingFuel,WSH_WaterTreated,true
6,CUL_LanguageGroup,ECO_WealthQuintile,true
7,MTH_MaternalAge,CHI_Age,true
8,SRV_Near,SRV_OKAlone,true
9,CUL_LanguageGroup,HOU_CookingFuel,true
10,ECO_WealthQuintile,BF_BreastfedMonths,true
11,MTH_Education,BF_BottleFeeding,true
12,BF_BottleFeeding,DIA_HadDiarrhoea,true
13,GEO_Region,WSH_ImprovedWaterSource,true
14,IMM_Diptheria,BF_BottleFeeding,false
15,FP_ModernMethod,CUL_LanguageGroup,false
16,CHI_Weight4Height,MTH_Education,false
17,DEL_SmallBaby,IMM_VitaminA1,false
18,WSH_SafeStoolDisposal,CUL_LanguageGroup,false
19,IMM_Diptheria,WSH_WashWithAgent,false
20,WSH_WashWithAgent,IMM_VitaminA1,false
21,DEL_SmallBaby,HOU_ModernWallMaterial,false
22,HOU_ModernWallMaterial,WSH_SafeStoolDisposal,false
23,IMM_Diptheria,CUL_Religion,false
24,HOU_CookingFuel,ECO_WealthQuintile,false
25,IMM_VitaminA1,WSH_SafeStoolDisposal,false
26,FP_ModernMethod,BF_BottleFeeding,false
27,CUL_Religion,ECO_WealthQuintile,false
