ID,Variable 1,Dependency,Variable 2
1,X0,->,X1
2,X0,->,X2
3,X0,->,X3
4,X0,->,X4
5,X0,->,X5
6,X0,->,X9
7,X0,->,X27
8,X0,->,X34
9,X0,->,X36
10,X0,->,X45
11,X0,->,X65
12,X0,->,X68
13,X0,->,X70
14,X0,->,X93
15,X1,->,X4
16,X1,->,X6
17,X1,->,X7
18,X1,->,X9
19,X1,->,X19
20,X1,->,X23
21,X1,->,X26
22,X1,->,X28
23,X1,->,X29
24,X1,->,X30
25,X1,->,X33
26,X1,->,X35
27,X1,->,X38
28,X1,->,X41
29,X1,->,X45
30,X1,->,X51
31,X1,->,X59
32,X1,->,X81
33,X1,->,X87
34,X1,->,X98
35,X2,->,X3
36,X2,->,X5
37,X2,->,X7
38,X2,->,X10
39,X2,->,X12
40,X2,->,X16
41,X2,->,X17
42,X2,->,X20
43,X2,->,X27
44,X2,->,X39
45,X2,->,X40
46,X2,->,X46
47,X2,->,X60
48,X2,->,X61
49,X2,->,X66
50,X2,->,X82
51,X2,->,X91
52,X2,->,X97
53,X3,->,X31
54,X3,->,X69
55,X4,->,X8
56,X4,->,X24
57,X4,->,X92
58,X5,->,X6
59,X5,->,X12
60,X5,->,X13
61,X5,->,X21
62,X5,->,X38
63,X5,->,X89
64,X6,->,X8
65,X6,->,X13
66,X6,->,X57
67,X6,->,X59
68,X6,->,X62
69,X6,->,X98
70,X7,->,X10
71,X7,->,X16
72,X7,->,X22
73,X7,->,X29
74,X7,->,X34
75,X7,->,X37
76,X7,->,X67
77,X7,->,X75
78,X7,->,X78
79,X7,->,X94
80,X8,->,X11
81,X8,->,X14
82,X8,->,X25
83,X8,->,X43
84,X8,->,X60
85,X9,->,X15
86,X9,->,X17
87,X9,->,X20
88,X9,->,X22
89,X9,->,X25
90,X9,->,X44
91,X9,->,X71
92,X10,->,X11
93,X10,->,X14
94,X10,->,X26
95,X10,->,X30
96,X10,->,X50
97,X10,->,X56
98,X10,->,X75
99,X10,->,X99
100,X11,->,X47
101,X11,->,X57
102,X11,->,X64
103,X11,->,X67
104,X11,->,X81
105,X11,->,X84
106,X12,->,X23
107,X12,->,X32
108,X12,->,X86
109,X12,->,X96
110,X13,->,X15
111,X13,->,X52
112,X14,->,X21
113,X14,->,X24
114,X14,->,X53
115,X15,->,X18
116,X15,->,X42
117,X15,->,X76
118,X15,->,X77
119,X16,->,X72
120,X16,->,X91
121,X17,->,X18
122,X17,->,X48
123,X18,->,X19
124,X18,->,X28
125,X18,->,X33
126,X18,->,X41
127,X18,->,X55
128,X18,->,X58
129,X18,->,X69
130,X18,->,X74
131,X18,->,X94
132,X19,->,X68
133,X20,->,X63
134,X21,->,X85
135,X22,->,X35
136,X22,->,X79
137,X22,->,X88
138,X23,->,X43
139,X23,->,X48
140,X23,->,X53
141,X23,->,X58
142,X23,->,X88
143,X23,->,X96
144,X24,->,X37
145,X24,->,X44
146,X24,->,X78
147,X26,->,X79
148,X27,->,X31
149,X27,->,X39
150,X27,->,X46
151,X27,->,X47
152,X27,->,X52
153,X27,->,X71
154,X27,->,X73
155,X27,->,X80
156,X27,->,X82
157,X27,->,X95
158,X28,->,X36
159,X28,->,X49
160,X28,->,X55
161,X28,->,X66
162,X30,->,X89
163,X31,->,X32
164,X32,->,X74
165,X33,->,X62
166,X33,->,X63
167,X34,->,X42
168,X34,->,X73
169,X35,->,X84
170,X36,->,X56
171,X36,->,X72
172,X36,->,X86
173,X37,->,X64
174,X37,->,X83
175,X38,->,X40
176,X38,->,X51
177,X39,->,X77
178,X41,->,X54
179,X43,->,X54
180,X43,->,X80
181,X45,->,X49
182,X45,->,X87
183,X45,->,X92
184,X46,->,X50
185,X48,->,X61
186,X50,->,X76
187,X56,->,X70
188,X56,->,X85
189,X58,->,X99
190,X62,->,X65
191,X65,->,X90
192,X68,->,X95
193,X75,->,X83
194,X84,->,X90
195,X85,->,X93
196,X90,->,X97
