ID,Variable 1,Dependency,Variable 2
1,X0,->,X54
2,X0,->,X105
3,X0,->,X125
4,X0,->,X151
5,X0,->,X188
6,X0,->,X218
7,X0,->,X233
8,X0,->,X307
9,X0,->,X316
10,X0,->,X329
11,X0,->,X380
12,X0,->,X402
13,X0,->,X418
14,X0,->,X487
15,X1,->,X13
16,X1,->,X42
17,X1,->,X105
18,X1,->,X112
19,X1,->,X147
20,X1,->,X170
21,X1,->,X210
22,X1,->,X231
23,X1,->,X234
24,X1,->,X285
25,X1,->,X385
26,X1,->,X404
27,X1,->,X441
28,X1,->,X457
29,X2,->,X7
30,X2,->,X14
31,X2,->,X37
32,X2,->,X98
33,X2,->,X158
34,X2,->,X182
35,X2,->,X195
36,X2,->,X456
37,X2,->,X469
38,X2,->,X484
39,X3,->,X26
40,X3,->,X43
41,X3,->,X47
42,X3,->,X101
43,X3,->,X106
44,X3,->,X108
45,X3,->,X135
46,X3,->,X158
47,X3,->,X196
48,X3,->,X220
49,X3,->,X236
50,X3,->,X289
51,X3,->,X333
52,X3,->,X359
53,X3,->,X363
54,X3,->,X420
55,X3,->,X454
56,X3,->,X477
57,X4,->,X28
58,X4,->,X36
59,X4,->,X93
60,X4,->,X121
61,X4,->,X140
62,X4,->,X144
63,X4,->,X151
64,X4,->,X192
65,X4,->,X246
66,X4,->,X254
67,X4,->,X320
68,X4,->,X358
69,X4,->,X409
70,X4,->,X436
71,X4,->,X461
72,X4,->,X496
73,X5,->,X6
74,X5,->,X47
75,X5,->,X50
76,X5,->,X57
77,X5,->,X61
78,X5,->,X128
79,X5,->,X156
80,X5,->,X199
81,X5,->,X210
82,X5,->,X243
83,X5,->,X247
84,X5,->,X295
85,X5,->,X305
86,X5,->,X322
87,X5,->,X334
88,X5,->,X365
89,X5,->,X377
90,X5,->,X378
91,X5,->,X387
92,X5,->,X391
93,X5,->,X396
94,X5,->,X403
95,X5,->,X465
96,X5,->,X474
97,X5,->,X489
98,X6,->,X48
99,X6,->,X61
100,X6,->,X105
101,X6,->,X131
102,X6,->,X176
103,X6,->,X201
104,X6,->,X301
105,X6,->,X317
106,X6,->,X353
107,X6,->,X376
108,X6,->,X410
109,X6,->,X413
110,X6,->,X432
111,X6,->,X466
112,X6,->,X495
113,X7,->,X16
114,X7,->,X45
115,X7,->,X64
116,X7,->,X98
117,X7,->,X101
118,X7,->,X105
119,X7,->,X161
120,X7,->,X228
121,X7,->,X236
122,X7,->,X336
123,X7,->,X343
124,X7,->,X451
125,X7,->,X481
126,X8,->,X61
127,X8,->,X176
128,X8,->,X236
129,X8,->,X249
130,X8,->,X336
131,X8,->,X391
132,X8,->,X397
133,X8,->,X457
134,X9,->,X12
135,X9,->,X112
136,X9,->,X256
137,X9,->,X280
138,X9,->,X348
139,X9,->,X352
140,X9,->,X401
141,X9,->,X456
142,X9,->,X465
143,X9,->,X467
144,X9,->,X493
145,X10,->,X30
146,X10,->,X68
147,X10,->,X84
148,X10,->,X95
149,X10,->,X115
150,X10,->,X224
151,X10,->,X259
152,X10,->,X346
153,X10,->,X408
154,X10,->,X446
155,X10,->,X462
156,X11,->,X16
157,X11,->,X26
158,X11,->,X28
159,X11,->,X56
160,X11,->,X62
161,X11,->,X106
162,X11,->,X212
163,X11,->,X213
164,X11,->,X276
165,X11,->,X301
166,X11,->,X322
167,X11,->,X349
168,X11,->,X497
169,X12,->,X96
170,X12,->,X111
171,X12,->,X120
172,X12,->,X204
173,X12,->,X290
174,X12,->,X292
175,X12,->,X419
176,X12,->,X434
177,X12,->,X468
178,X12,->,X469
179,X12,->,X478
180,X12,->,X495
181,X13,->,X51
182,X13,->,X56
183,X13,->,X123
184,X13,->,X152
185,X13,->,X202
186,X13,->,X217
187,X13,->,X247
188,X13,->,X281
189,X13,->,X316
190,X13,->,X376
191,X13,->,X417
192,X13,->,X447
193,X13,->,X463
194,X14,->,X16
195,X14,->,X27
196,X14,->,X60
197,X14,->,X126
198,X14,->,X131
199,X14,->,X175
200,X14,->,X201
201,X14,->,X223
202,X14,->,X276
203,X14,->,X302
204,X14,->,X320
205,X14,->,X465
206,X14,->,X468
207,X15,->,X72
208,X15,->,X109
209,X15,->,X139
210,X15,->,X160
211,X15,->,X218
212,X15,->,X236
213,X15,->,X272
214,X15,->,X274
215,X15,->,X280
216,X15,->,X308
217,X15,->,X327
218,X15,->,X347
219,X15,->,X445
220,X15,->,X457
221,X16,->,X17
222,X16,->,X90
223,X16,->,X186
224,X16,->,X213
225,X16,->,X369
226,X16,->,X385
227,X16,->,X439
228,X17,->,X70
229,X17,->,X95
230,X17,->,X126
231,X17,->,X134
232,X17,->,X143
233,X17,->,X163
234,X17,->,X169
235,X17,->,X188
236,X17,->,X198
237,X17,->,X305
238,X17,->,X320
239,X17,->,X337
240,X17,->,X373
241,X17,->,X395
242,X17,->,X398
243,X17,->,X474
244,X17,->,X485
245,X18,->,X23
246,X18,->,X49
247,X18,->,X83
248,X18,->,X90
249,X18,->,X105
250,X18,->,X127
251,X18,->,X155
252,X18,->,X185
253,X18,->,X212
254,X18,->,X283
255,X18,->,X328
256,X18,->,X352
257,X18,->,X353
258,X18,->,X402
259,X18,->,X410
260,X18,->,X436
261,X18,->,X460
262,X18,->,X495
263,X19,->,X71
264,X19,->,X74
265,X19,->,X81
266,X19,->,X95
267,X19,->,X198
268,X19,->,X242
269,X19,->,X275
270,X19,->,X330
271,X19,->,X335
272,X19,->,X345
273,X19,->,X353
274,X19,->,X401
275,X19,->,X420
276,X19,->,X430
277,X19,->,X432
278,X19,->,X454
279,X20,->,X37
280,X20,->,X87
281,X20,->,X107
282,X20,->,X113
283,X20,->,X129
284,X20,->,X130
285,X20,->,X134
286,X20,->,X163
287,X20,->,X212
288,X20,->,X289
289,X20,->,X315
290,X20,->,X421
291,X21,->,X25
292,X21,->,X37
293,X21,->,X48
294,X21,->,X104
295,X21,->,X107
296,X21,->,X145
297,X21,->,X163
298,X21,->,X195
299,X21,->,X236
300,X21,->,X246
301,X21,->,X302
302,X21,->,X351
303,X21,->,X370
304,X21,->,X426
305,X21,->,X449
306,X21,->,X472
307,X22,->,X29
308,X22,->,X43
309,X22,->,X52
310,X22,->,X133
311,X22,->,X234
312,X22,->,X249
313,X22,->,X264
314,X22,->,X274
315,X22,->,X294
316,X22,->,X300
317,X22,->,X354
318,X22,->,X364
319,X22,->,X389
320,X22,->,X397
321,X22,->,X409
322,X22,->,X416
323,X23,->,X50
324,X23,->,X78
325,X23,->,X102
326,X23,->,X106
327,X23,->,X163
328,X23,->,X192
329,X23,->,X209
330,X23,->,X216
331,X23,->,X308
332,X23,->,X385
333,X23,->,X412
334,X23,->,X439
335,X23,->,X446
336,X23,->,X450
337,X23,->,X479
338,X24,->,X94
339,X24,->,X125
340,X24,->,X172
341,X24,->,X188
342,X24,->,X193
343,X24,->,X204
344,X24,->,X225
345,X24,->,X228
346,X24,->,X274
347,X24,->,X275
348,X24,->,X332
349,X24,->,X381
350,X24,->,X406
351,X24,->,X421
352,X24,->,X427
353,X24,->,X453
354,X24,->,X485
355,X25,->,X26
356,X25,->,X70
357,X25,->,X136
