ID,Variable 1,Dependency,Variable 2
1,X0,->,X23
2,X0,->,X40
3,X0,->,X46
4,X0,->,X76
5,X0,->,X79
6,X0,->,X85
7,X0,->,X96
8,X0,->,X124
9,X0,->,X193
10,X1,->,X52
11,X1,->,X134
12,X2,->,X48
13,X2,->,X67
14,X2,->,X80
15,X2,->,X147
16,X2,->,X153
17,X2,->,X192
18,X2,->,X199
19,X3,->,X72
20,X3,->,X85
21,X3,->,X97
22,X3,->,X171
23,X3,->,X190
24,X4,->,X6
25,X4,->,X12
26,X4,->,X65
27,X4,->,X114
28,X4,->,X142
29,X4,->,X143
30,X4,->,X159
31,X5,->,X8
32,X5,->,X75
33,X5,->,X118
34,X5,->,X123
35,X5,->,X147
36,X6,->,X22
37,X6,->,X73
38,X6,->,X112
39,X6,->,X131
40,X6,->,X176
41,X6,->,X198
42,X7,->,X13
43,X7,->,X27
44,X7,->,X62
45,X7,->,X73
46,X7,->,X174
47,X8,->,X36
48,X8,->,X65
49,X8,->,X111
50,X8,->,X132
51,X8,->,X139
52,X8,->,X148
53,X8,->,X198
54,X9,->,X10
55,X9,->,X56
56,X9,->,X82
57,X9,->,X124
58,X9,->,X131
59,X9,->,X186
60,X9,->,X194
61,X10,->,X11
62,X10,->,X27
63,X10,->,X67
64,X10,->,X190
65,X11,->,X33
66,X11,->,X157
67,X11,->,X199
68,X12,->,X110
69,X12,->,X122
70,X12,->,X127
71,X12,->,X147
72,X12,->,X155
73,X12,->,X180
74,X13,->,X15
75,X13,->,X30
76,X13,->,X39
77,X13,->,X42
78,X13,->,X84
79,X13,->,X106
80,X13,->,X130
81,X13,->,X136
82,X13,->,X161
83,X13,->,X179
84,X14,->,X52
85,X14,->,X82
86,X14,->,X92
87,X14,->,X195
88,X15,->,X20
89,X15,->,X21
90,X15,->,X35
91,X15,->,X43
92,X15,->,X195
93,X16,->,X24
94,X16,->,X91
95,X16,->,X159
96,X16,->,X199
97,X17,->,X30
98,X17,->,X33
99,X17,->,X34
100,X17,->,X55
