ID,Variable 1,Dependency,Variable 2
1,X0,->,X1
2,X0,->,X2
3,X0,->,X3
4,X0,->,X4
5,X0,->,X5
6,X0,->,X6
7,X0,->,X12
8,X0,->,X13
9,X0,->,X14
10,X0,->,X20
11,X0,->,X21
12,X0,->,X23
13,X0,->,X24
14,X0,->,X25
15,X0,->,X33
16,X0,->,X38
17,X0,->,X39
18,X0,->,X41
19,X0,->,X49
20,X0,->,X56
21,X0,->,X57
22,X0,->,X58
23,X0,->,X60
24,X0,->,X64
25,X0,->,X76
26,X0,->,X88
27,X0,->,X91
28,X0,->,X117
29,X0,->,X133
30,X0,->,X175
31,X0,->,X192
32,X1,->,X3
33,X1,->,X4
34,X1,->,X19
35,X1,->,X25
36,X2,->,X104
37,X2,->,X142
38,X3,->,X5
39,X3,->,X6
40,X3,->,X8
41,X3,->,X15
42,X3,->,X20
43,X3,->,X27
44,X3,->,X30
45,X3,->,X36
46,X3,->,X58
47,X3,->,X62
48,X3,->,X69
49,X3,->,X73
50,X3,->,X82
51,X3,->,X92
52,X3,->,X97
53,X3,->,X99
54,X3,->,X119
55,X3,->,X123
56,X3,->,X127
57,X3,->,X136
58,X3,->,X145
59,X3,->,X167
60,X3,->,X183
61,X4,->,X7
62,X4,->,X26
63,X4,->,X27
64,X4,->,X59
65,X4,->,X61
66,X4,->,X114
67,X4,->,X137
68,X4,->,X186
69,X5,->,X7
70,X5,->,X8
71,X5,->,X11
72,X5,->,X16
73,X5,->,X18
74,X5,->,X19
75,X5,->,X79
76,X5,->,X140
77,X5,->,X160
78,X5,->,X198
79,X6,->,X28
80,X6,->,X131
81,X6,->,X166
82,X7,->,X9
83,X7,->,X10
84,X7,->,X12
85,X7,->,X14
86,X7,->,X18
87,X7,->,X21
88,X7,->,X22
89,X7,->,X33
90,X7,->,X34
91,X7,->,X39
92,X7,->,X46
93,X7,->,X47
94,X7,->,X54
95,X7,->,X57
96,X7,->,X65
97,X7,->,X73
98,X7,->,X74
99,X7,->,X77
100,X7,->,X91
101,X7,->,X109
102,X7,->,X116
103,X7,->,X120
104,X7,->,X132
105,X7,->,X144
106,X7,->,X147
107,X7,->,X149
108,X7,->,X180
109,X8,->,X9
110,X8,->,X24
111,X8,->,X35
112,X8,->,X36
113,X8,->,X42
114,X8,->,X53
115,X8,->,X63
116,X8,->,X127
117,X8,->,X182
118,X9,->,X10
119,X9,->,X11
120,X9,->,X13
121,X9,->,X15
122,X9,->,X17
123,X9,->,X29
124,X9,->,X37
125,X9,->,X42
126,X9,->,X51
127,X9,->,X52
128,X9,->,X67
129,X9,->,X68
130,X9,->,X94
131,X9,->,X96
132,X9,->,X105
133,X9,->,X120
134,X9,->,X123
135,X9,->,X132
136,X9,->,X176
137,X9,->,X187
138,X10,->,X41
139,X10,->,X105
140,X10,->,X107
141,X10,->,X113
142,X10,->,X137
143,X11,->,X22
144,X11,->,X75
145,X13,->,X40
146,X14,->,X16
147,X14,->,X23
148,X14,->,X26
149,X14,->,X30
150,X14,->,X45
151,X14,->,X64
152,X14,->,X65
153,X14,->,X70
154,X14,->,X72
155,X14,->,X80
156,X14,->,X109
157,X16,->,X17
158,X16,->,X51
159,X16,->,X140
160,X16,->,X173
161,X17,->,X31
162,X17,->,X38
163,X17,->,X78
164,X17,->,X83
165,X18,->,X28
166,X18,->,X34
167,X18,->,X35
168,X18,->,X40
169,X18,->,X47
170,X18,->,X50
171,X18,->,X60
172,X18,->,X82
173,X18,->,X89
174,X18,->,X100
175,X18,->,X126
176,X18,->,X148
177,X18,->,X194
178,X19,->,X56
179,X19,->,X66
180,X19,->,X173
181,X20,->,X59
182,X20,->,X85
183,X20,->,X101
184,X20,->,X107
185,X20,->,X134
186,X20,->,X141
187,X20,->,X150
188,X20,->,X153
189,X20,->,X165
190,X20,->,X196
191,X21,->,X29
192,X21,->,X67
193,X21,->,X72
194,X21,->,X86
195,X21,->,X117
196,X21,->,X130
197,X22,->,X84
198,X23,->,X69
199,X23,->,X154
200,X23,->,X180
201,X24,->,X87
202,X24,->,X102
203,X24,->,X104
204,X24,->,X119
205,X24,->,X121
206,X25,->,X125
207,X25,->,X156
208,X25,->,X195
209,X27,->,X31
210,X27,->,X154
211,X28,->,X32
212,X28,->,X37
213,X28,->,X48
214,X28,->,X54
215,X28,->,X55
216,X28,->,X153
217,X28,->,X170
218,X29,->,X46
219,X29,->,X81
220,X29,->,X90
221,X30,->,X32
222,X30,->,X80
223,X31,->,X172
224,X32,->,X52
225,X32,->,X84
226,X32,->,X102
227,X33,->,X103
228,X33,->,X131
229,X33,->,X134
230,X34,->,X44
231,X34,->,X76
232,X34,->,X101
233,X34,->,X115
234,X35,->,X78
235,X35,->,X115
236,X35,->,X129
237,X35,->,X147
238,X36,->,X177
239,X37,->,X45
240,X37,->,X86
241,X37,->,X142
242,X38,->,X43
243,X38,->,X50
244,X38,->,X62
245,X38,->,X98
246,X38,->,X111
247,X38,->,X157
248,X38,->,X171
249,X38,->,X197
250,X39,->,X75
251,X39,->,X164
252,X40,->,X44
253,X40,->,X61
254,X41,->,X43
255,X41,->,X48
256,X41,->,X49
257,X41,->,X122
258,X41,->,X171
259,X42,->,X129
260,X42,->,X170
261,X43,->,X66
262,X43,->,X92
263,X43,->,X110
264,X43,->,X136
265,X43,->,X199
266,X44,->,X87
267,X44,->,X98
268,X44,->,X110
269,X44,->,X130
270,X44,->,X150
271,X45,->,X71
272,X45,->,X112
273,X45,->,X189
274,X47,->,X93
275,X47,->,X124
276,X47,->,X152
277,X47,->,X186
278,X48,->,X53
279,X48,->,X81
280,X48,->,X198
281,X49,->,X90
282,X50,->,X74
283,X50,->,X112
284,X51,->,X70
285,X51,->,X95
286,X51,->,X139
287,X52,->,X63
288,X53,->,X125
289,X53,->,X139
290,X53,->,X158
291,X53,->,X187
292,X54,->,X55
293,X54,->,X68
294,X54,->,X93
295,X54,->,X122
296,X54,->,X141
297,X55,->,X71
298,X55,->,X103
299,X55,->,X157
300,X59,->,X79
301,X59,->,X83
302,X59,->,X138
303,X59,->,X183
304,X59,->,X188
305,X60,->,X128
306,X60,->,X133
307,X61,->,X106
308,X63,->,X184
309,X64,->,X191
310,X65,->,X89
311,X65,->,X149
312,X65,->,X177
313,X65,->,X185
314,X65,->,X194
315,X66,->,X95
316,X67,->,X111
317,X67,->,X185
318,X69,->,X88
319,X71,->,X176
320,X73,->,X100
321,X74,->,X94
322,X74,->,X113
323,X74,->,X143
324,X74,->,X164
325,X75,->,X121
326,X76,->,X77
327,X76,->,X182
328,X77,->,X160
329,X77,->,X179
330,X78,->,X106
331,X78,->,X116
332,X78,->,X118
333,X78,->,X151
334,X78,->,X178
335,X78,->,X193
336,X78,->,X195
337,X79,->,X99
338,X81,->,X85
339,X81,->,X97
340,X81,->,X114
341,X81,->,X151
342,X81,->,X162
343,X81,->,X163
344,X81,->,X169
345,X81,->,X191
346,X81,->,X196
347,X83,->,X96
348,X83,->,X169
349,X86,->,X165
350,X89,->,X190
351,X90,->,X118
352,X90,->,X138
353,X93,->,X175
354,X93,->,X178
355,X95,->,X155
356,X95,->,X161
357,X96,->,X181
358,X99,->,X159
359,X100,->,X152
360,X102,->,X156
361,X103,->,X108
