ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,rentalGrossProfit,->,propertyPurchaseValue
4,actualRentalIncome,->,rentalIncomeT+1
5,actualRentalIncome,->,otherInterestFees
6,otherPropertyExpenses,->,propertyExpenses
7,otherPropertyExpenses,->,otherPropertyExpensesT+1
8,otherPropertyExpenses,->,rentalGrowth
9,rentalIncomeT+1,->,rentalIncome
10,rentalIncome,->,stampDutyTax
11,propertyPurchaseValue,->,rentalGrossYield
12,propertyPurchaseValue,->,propertyValueT+1
13,propertyPurchaseValue,->,stampDutyTaxBand
14,propertyValueT+1,->,otherInterestFees
15,stampDutyTaxBand,->,propertyExpenses
16,stampDutyTaxBand,->,borrowing
17,stampDutyTax,->,otherPropertyExpensesT+1
18,capitalGains,->,propertyValueT+1
19,propertyExpensesGrowth,->,propertyExpenses
20,rentalGrowth,->,rentalIncomeT+1
21,capitalGrowth,->,rentalNetProfitBeforeInterest
22,capitalGrowth,->,capitalGains
23,incomeTax,->,rentalNetProfitBeforeInterest
24,interestTaxRelief,->,netProfit
25,netProfit,->,rentalGrossProfit
26,interest,->,incomeTax
27,interest,->,netProfit
28,interestRate,->,propertyValueT+1
29,borrowing,->,rentalGrossYield
30,borrowing,->,LTV
31,borrowing,->,propertyValueT+1
32,borrowing,->,capitalGrowth
33,otherInterestFees,->,interest
