ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyExpenses,->,otherPropertyExpenses
3,rentalGrossProfit,->,rentalNetProfitBeforeInterest
4,actualRentalIncome,->,rentalGrossProfit
5,actualRentalIncome,->,rentalIncomeT+1
6,actualRentalIncome,->,rentalIncome
7,otherPropertyExpenses,->,otherPropertyExpensesT+1
8,rentalNetProfitBeforeInterest,->,incomeTax
9,rentalNetProfitBeforeInterest,->,netProfit
10,propertyPurchaseValue,->,propertyValueT+1
11,propertyPurchaseValue,->,stampDutyTaxBand
12,propertyPurchaseValue,->,stampDutyTax
13,propertyPurchaseValue,->,capitalGains
14,LTV,->,borrowing
15,stampDutyTaxBand,->,rentalGrossYield
16,stampDutyTaxBand,->,LTV
17,capitalGains,->,capitalGrowth
18,interestTaxRelief,->,interest
19,interest,->,interestRate
