ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,propertyValueT+1
3,propertyExpenses,->,rentalGrossProfit
4,propertyExpenses,->,capitalGains
5,rentalGrossProfit,->,rentalNetProfitBeforeInterest
6,actualRentalIncome,->,rentalIncomeLoss%
7,rentalNetProfitBeforeInterest,->,propertyPurchaseValue
8,rentalNetProfitBeforeInterest,->,incomeTax
9,rentalNetProfitBeforeInterest,->,netProfit
10,rentalGrossYield,->,borrowing
11,rentalIncomeT+1,->,incomeTax
12,rentalIncomeLoss%,->,propertyExpenses
13,rentalIncomeLoss%,->,actualRentalIncome
14,propertyPurchaseValue,->,LTV
15,propertyPurchaseValue,->,propertyValueT+1
16,propertyPurchaseValue,->,stampDutyTax
17,propertyPurchaseValue,->,capitalGains
18,LTV,->,propertyManagement
19,stampDutyTaxBand,->,rentalGrossYield
20,stampDutyTax,->,actualRentalIncome
21,capitalGains,->,rentalIncomeLoss%
22,capitalGains,->,propertyValueT+1
23,otherPropertyExpensesT+1,->,otherPropertyExpenses
24,propertyExpensesGrowth,->,LTV
25,propertyExpensesGrowth,->,otherPropertyExpensesT+1
26,rentalGrowth,->,rentalIncomeT+1
27,capitalGrowth,->,capitalGains
28,capitalGrowth,->,interestTaxRelief
29,interest,->,stampDutyTax
30,interest,->,incomeTax
31,interest,->,interestTaxRelief
32,interest,->,netProfit
33,borrowing,->,LTV
