ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyExpenses,->,rentalGrossProfit
3,rentalGrossProfit,->,rentalNetProfitBeforeInterest
4,rentalGrossProfit,->,borrowing
5,actualRentalIncome,->,propertyExpenses
6,actualRentalIncome,->,rentalGrossYield
7,actualRentalIncome,->,interestRate
8,otherPropertyExpenses,->,propertyExpenses
9,rentalIncomeT+1,->,propertyExpenses
10,rentalIncome,->,actualRentalIncome
11,rentalIncome,->,interestRate
12,propertyPurchaseValue,->,actualRentalIncome
13,propertyPurchaseValue,->,rentalGrossYield
14,propertyPurchaseValue,->,LTV
15,propertyPurchaseValue,->,propertyValueT+1
16,propertyPurchaseValue,->,propertyExpensesGrowth
17,LTV,->,propertyExpenses
18,LTV,->,interestTaxRelief
19,stampDutyTaxBand,->,stampDutyTax
20,stampDutyTax,->,propertyManagement
21,stampDutyTax,->,otherInterestFees
22,capitalGains,->,propertyValueT+1
23,otherPropertyExpensesT+1,->,propertyManagement
24,rentalGrowth,->,rentalIncomeT+1
25,capitalGrowth,->,rentalIncome
26,capitalGrowth,->,capitalGains
27,incomeTax,->,actualRentalIncome
28,netProfit,->,actualRentalIncome
29,netProfit,->,rentalGrowth
30,interest,->,actualRentalIncome
31,interest,->,interestTaxRelief
32,borrowing,->,rentalIncomeLoss%
33,borrowing,->,LTV
