ID,Parent,Child,TrueOrFalse
0,rentalGrowth,rentalIncomeT+1,true
1,interestTaxRelief,netProfit,true
2,incomeTax,rentalNetProfitBeforeInterest,true
3,otherPropertyExpenses,propertyExpenses,true
4,otherPropertyExpenses,otherPropertyExpensesT+1,true
5,rentalNetProfitBeforeInterest,netProfit,true
6,rentalIncomeLoss%,interest,false
7,rentalGrowth,otherPropertyExpensesT+1,false
8,interest,actualRentalIncome,false
9,rentalNetProfitBeforeInterest,rentalIncomeT+1,false
10,otherPropertyExpensesT+1,rentalGrossProfit,false
11,stampDutyTax,capitalGains,false
