ID,Parent,Child,TrueOrFalse
0,rentalIncome,actualRentalIncome,true
1,rentalNetProfitBeforeInterest,netProfit,true
2,interest,interestTaxRelief,true
3,borrowing,LTV,true
4,propertyPurchaseValue,rentalGrossYield,true
5,propertyPurchaseValue,capitalGains,true
6,propertyManagement,propertyExpenses,true
7,interest,netProfit,true
8,rentalGrossProfit,rentalNetProfitBeforeInterest,true
9,propertyExpensesGrowth,otherPropertyExpensesT+1,true
10,capitalGains,propertyValueT+1,true
11,propertyPurchaseValue,LTV,true
12,propertyExpenses,rentalGrossProfit,true
13,actualRentalIncome,rentalGrossProfit,true
14,interestRate,interest,true
15,borrowing,interest,true
16,propertyPurchaseValue,rentalGrossProfit,false
17,propertyManagement,rentalIncomeLoss%,false
18,rentalGrossYield,stampDutyTax,false
19,rentalIncomeLoss%,LTV,false
20,otherPropertyExpensesT+1,interestRate,false
21,rentalIncomeT+1,capitalGrowth,false
22,rentalIncome,propertyPurchaseValue,false
23,otherPropertyExpenses,capitalGrowth,false
24,incomeTax,propertyValueT+1,false
25,stampDutyTaxBand,actualRentalIncome,false
26,propertyPurchaseValue,capitalGrowth,false
27,stampDutyTaxBand,capitalGains,false
28,propertyManagement,stampDutyTax,false
29,propertyPurchaseValue,propertyExpenses,false
30,propertyValueT+1,propertyPurchaseValue,false
31,otherPropertyExpenses,stampDutyTaxBand,false
