ID,Parent,Child,TrueOrFalse
0,rentalIncomeLoss%,actualRentalIncome,true
1,actualRentalIncome,rentalGrossProfit,true
2,actualRentalIncome,rentalGrossYield,true
3,propertyPurchaseValue,rentalGrossYield,true
4,rentalGrowth,rentalIncomeT+1,true
5,interestRate,interest,true
6,otherPropertyExpenses,interest,false
7,rentalGrossProfit,capitalGains,false
8,interestRate,stampDutyTaxBand,false
9,actualRentalIncome,interestRate,false
10,rentalGrossProfit,rentalIncome,false
11,rentalIncome,interestTaxRelief,false
12,propertyExpenses,propertyExpensesGrowth,false
13,borrowing,otherInterestFees,false
14,borrowing,propertyExpenses,false
15,interestRate,capitalGains,false
16,propertyExpenses,propertyPurchaseValue,false
17,rentalGrossYield,otherInterestFees,false
