ID,Variable1,Dependency,Variable2
1,propertyExpenses,->,propertyManagement
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,actualRentalIncome,->,rentalGrossProfit
4,actualRentalIncome,->,rentalIncomeT+1
5,actualRentalIncome,->,rentalIncome
6,otherPropertyExpenses,->,propertyExpenses
7,otherPropertyExpenses,->,otherPropertyExpensesT+1
8,rentalNetProfitBeforeInterest,->,incomeTax
9,rentalNetProfitBeforeInterest,->,netProfit
10,propertyPurchaseValue,->,propertyValueT+1
11,propertyPurchaseValue,->,stampDutyTaxBand
12,propertyPurchaseValue,->,stampDutyTax
13,LTV,->,borrowing
14,stampDutyTaxBand,->,rentalGrossYield
15,stampDutyTaxBand,->,capitalGains
16,stampDutyTax,->,LTV
17,capitalGains,->,capitalGrowth
18,interestTaxRelief,->,interest
19,interestTaxRelief,->,interestRate
