ID,Variable1,Dependency,Variable2
1,rentalGrossProfit,->,rentalNetProfitBeforeInterest
2,actualRentalIncome,->,rentalGrossProfit
3,actualRentalIncome,->,rentalIncomeT+1
4,actualRentalIncome,->,rentalIncome
5,propertyPurchaseValue,->,propertyValueT+1
6,propertyPurchaseValue,->,stampDutyTaxBand
7,propertyPurchaseValue,->,stampDutyTax
8,stampDutyTaxBand,->,rentalGrossYield
9,otherPropertyExpensesT+1,->,propertyExpenses
10,otherPropertyExpensesT+1,->,otherPropertyExpenses
11,capitalGrowth,->,capitalGains
12,interest,->,interestTaxRelief
13,borrowing,->,LTV
