ID,Variable1,Dependency,Variable2
1,rentalGrossProfit,->,rentalNetProfitBeforeInterest
2,actualRentalIncome,->,rentalGrossProfit
3,actualRentalIncome,->,rentalIncomeT+1
4,actualRentalIncome,->,rentalIncome
5,otherPropertyExpenses,->,propertyExpenses
6,otherPropertyExpenses,->,otherPropertyExpensesT+1
7,propertyPurchaseValue,->,propertyValueT+1
8,propertyPurchaseValue,->,stampDutyTaxBand
9,LTV,->,borrowing
10,propertyValueT+1,->,stampDutyTax
11,stampDutyTaxBand,->,rentalGrossYield
12,stampDutyTax,->,LTV
13,capitalGrowth,->,capitalGains
14,interestTaxRelief,->,interestRate
15,interest,->,interestTaxRelief
