ID,Variable1,Dependency,Variable2
1,propertyExpenses,->,propertyManagement
2,actualRentalIncome,->,rentalGrossProfit
3,actualRentalIncome,->,rentalIncomeT+1
4,actualRentalIncome,->,rentalIncome
5,otherPropertyExpenses,->,otherPropertyExpensesT+1
6,propertyPurchaseValue,->,propertyValueT+1
7,propertyPurchaseValue,->,stampDutyTaxBand
8,LTV,->,borrowing
9,stampDutyTaxBand,->,rentalGrossYield
10,stampDutyTaxBand,->,LTV
11,stampDutyTaxBand,->,stampDutyTax
12,capitalGains,->,capitalGrowth
13,otherPropertyExpensesT+1,->,propertyExpenses
14,interestTaxRelief,->,interest
