ID,Variable1,Dependency,Variable2
1,rentalGrossProfit,->,rentalNetProfitBeforeInterest
2,actualRentalIncome,->,rentalGrossProfit
3,actualRentalIncome,->,rentalIncomeT+1
4,otherPropertyExpenses,->,propertyExpenses
5,otherPropertyExpenses,->,otherPropertyExpensesT+1
6,rentalIncome,->,actualRentalIncome
7,propertyPurchaseValue,->,stampDutyTaxBand
8,propertyValueT+1,->,propertyPurchaseValue
9,stampDutyTaxBand,->,rentalGrossYield
10,stampDutyTaxBand,->,stampDutyTax
11,stampDutyTax,->,LTV
12,stampDutyTax,->,capitalGains
13,capitalGains,->,capitalGrowth
14,interest,->,interestTaxRelief
