ID,Variable1,Variable2,TrueOrFalse
0,Impulsivity,AggressionDL,true
1,EcstasyBeforePrisonSentence,EcstasyDuringPrisonSentence,true
2,CocaineDependence,AnyDrugDependence,true
3,BPD,Impulsivity,true
4,AlcoholTreatmentGivenRFAT,HazardousDrinkingPT,true
5,DepressionPT,FinancialDifficulties,true
6,Violence,PriorViolentConvictions,true
7,ResponsivenessToTreatment,AnxietyPT,true
8,AlcoholTreatment,AlcoholTreatmentGivenRFAT,true
9,CocaineBeforePrisonSentence,CocaineAfterRelease,true
10,ViolentThoughts,AggressionDL,true
11,CannabisDuringPrisonSentence,CannabisAfterRelease,true
12,AngerPT,ASPD,true
13,AngerManagementGivenRFAT,AngerPT,true
14,SocialWithdraw,CriminalNetwork,true
15,ResponsivenessToTreatment,HallucinationsPT,true
16,ASPD,Impulsivity,true
17,SymptomsOfMentalIllness,Depression,true
18,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
19,CocaineAfterRelease,CocainePT,true
20,CannabisDependence,AnyDrugDependence,true
21,EcstasyDuringPrisonSentence,EcstasyDependence,true
22,MentalIllnessDL,ViolentConvictionsRate,true
23,CriminalAttitude,AttitudeDL,true
24,Intelligence,AbilityToCope,true
25,ResponsivenessToTreatment,AngerPT,true
26,ParanoidDelusions,ParanoidDelusionsPT,true
27,ComplianceWithSupervision,NegativeAttitude,true
28,EcstasyDuringPrisonSentence,AbilityToCope,false
29,AnyDrugDependence,AngerPT,false
30,ProblematicLifeEvents,SocialWithdraw,false
31,ParanoidDelusionsPT,CannabisAfterRelease,false
32,PCLRfactor1,AnxietyPT,false
33,AlcoholTreatment,TimeAtRisk,false
34,CocaineDuringPrisonSentence,AnxietyPT,false
35,CannabisBeforePrisonSentence,Anxiety,false
36,ASPD,ResponsivenessToTreatment,false
37,BPD,CriminalFamilyBackground,false
38,BPD,ResponseToTreatGivenDrugDep,false
39,CannabisAfterRelease,EcstasyAfterRelease,false
40,DomesticStability,ComplianceWithSupervision,false
41,SubstanceMisuseDL,CocaineDependence,false
42,SubstanceMisuseDL,AnxietyPT,false
43,ComplianceWithSupervision,HazardousDrinkingPT,false
44,Stress,ViolentConvRateGivenProt,false
45,PCLRfactor1,Hallucinations,false
46,Age,ViolentConvictions,false
47,DrugTreatmentGivenRFAT,BPD,false
48,PCLRfactor2,Education,false
49,ThoughtInsertionPT,HallucinationsPT,false
50,CriminalNetwork,SocialWithdraw,false
51,ResponsivenessToTreatment,AlcoholDependence,false
52,EcstasyPT,ResponseToTreatGivenAlcDep,false
53,CannabisBeforePrisonSentence,ComplianceWithSupervision,false
54,ParanoidDelusionsPT,AbuseNeglectAsChild,false
55,SubstanceUse,AggressionDL,false
