ID,Variable1,Variable2,TrueOrFalse
0,Violence,Gender,true
1,PsychiatricTreatmentGivenRFAT,ThoughtInsertionPT,true
2,ASPD,PCLRfactor2,true
3,StrangeExperiencesPT,MentalIllnessSymptomCount,true
4,CriminalNetwork,GangMember,true
5,CocaineDuringPrisonSentence,CocaineAfterRelease,true
6,ResponseToTreatGivenAlcDep,HazardousDrinkingPT,true
7,LivingCircumstances,CriminalNetwork,true
8,CocaineBeforePrisonSentence,CocaineDuringPrisonSentence,true
9,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
10,EcstasyBeforePrisonSentence,EcstasyAfterRelease,true
11,AngerPT,BPD,true
12,CannabisAfterRelease,CannabisPT,true
13,Victimisation,ProblematicLifeEvents,true
14,CannabisDependence,AnyDrugDependence,true
15,ResponsivenessToTreatment,ParanoidDelusionsPT,true
16,Depression,DepressionPT,true
17,ParanoidDelusionsPT,MentalIllnessSymptomCount,true
18,ResponsivenessToTreatment,ThoughtInsertionPT,true
19,Victimisation,ViolentThoughts,true
20,ComplianceWithSupervision,CriminalAttitude,true
21,CocainePT,SubstanceUse,true
22,ResponsivenessToTreatment,StrangeExperiencesPT,true
23,SymptomsOfMentalIllness,Anxiety,true
24,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
25,Impulsivity,PCLRfacet3,true
26,AlcoholTreatmentGivenRFAT,HazardousDrinkingPT,true
27,CriminalNetwork,CriminalAttitude,true
28,HazardousDrinkingPT,ParanoidDelusionsPT,false
29,Gender,AlcoholTreatment,false
30,StrangeExperiences,ResponseToTreatGivenDrugDep,false
31,Victimisation,AnyDrugDependence,false
32,AngerManagement,ViolentConvRateGivenProt,false
33,SymptomsOfMentalIllness,Gender,false
34,PCLRfactor1,ParanoidDelusionsPT,false
35,CriminalAttitude,Education,false
36,HallucinationsPT,pclrscore,false
37,ViolentConvRateGivenProt,Intelligence,false
38,PCLRfactor2,AlcoholTreatment,false
39,SubstanceMisuseDL,CriminalFamilyBackground,false
40,AngerManagementGivenRFAT,PCLRfactor2,false
41,PCLRfacet3,AlcoholTreatmentGivenRFAT,false
42,ParanoidDelusions,AttitudeDL,false
43,CannabisDependence,CriminalAttitude,false
44,GangMember,DomesticStability,false
45,HazardousDrinkingPT,AngerPT,false
46,LivingCircumstances,CriminalAttitude,false
47,ViolentConvRateGivenProt,CocaineDependence,false
48,MentalIllnessSymptomCount,EcstasyBeforePrisonSentence,false
49,CocaineAfterRelease,LivingCircumstances,false
50,EmploymentOrTraining,Depression,false
51,ViolentConvRateGivenProt,AngerManagement,false
52,AlcoholTreatment,CriminalAttitude,false
53,Education,CocaineDependence,false
54,Education,SocialProtectiveObs,false
55,ThoughtInsertionPT,AnxietyPT,false
