ID,Variable1,Variable2,TrueOrFalse
0,AbuseNeglectAsChild,ASPD,true
1,HallucinationsPT,MentalIllnessSymptomCount,true
2,ResponsivenessToTreatment,HallucinationsPT,true
3,CannabisBeforePrisonSentence,CannabisAfterRelease,true
4,FinancialDifficulties,LivingCircumstances,true
5,AbilityToCope,Stress,true
6,ViolentConvictions,Violence,true
7,EmploymentOrTraining,DomesticStability,true
8,AlcoholDependence,ResponseToTreatGivenAlcDep,true
9,EcstasyDuringPrisonSentence,EcstasyAfterRelease,true
10,ProblematicLifeEvents,Stress,true
11,CocaineBeforePrisonSentence,CocaineDuringPrisonSentence,true
12,ResponsivenessToTreatment,AnxietyPT,true
13,LivingCircumstances,DomesticStability,true
14,BPD,Impulsivity,true
15,ResponsivenessToTreatment,AngerPT,true
16,ASPD,PCLRfactor2,true
17,AbuseNeglectAsChild,BPD,true
18,ResponsivenessToTreatment,StrangeExperiencesPT,true
19,DrugTreatment,DrugTreatmentGivenRFAT,true
20,CriminalAttitude,AttitudeDL,true
21,GangMember,CriminalAttitude,true
22,SymptomsOfMentalIllness,ThoughtInsertion,true
23,AggressionDL,ViolentConvictionsRate,true
24,ComplianceWithSupervision,CriminalAttitude,true
25,SymptomsOfMentalIllness,Anxiety,true
26,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
27,AnxietyPT,MentalIllnessSymptomCount,true
28,SubstanceUse,pclrscore,false
29,AlcoholTreatment,EcstasyBeforePrisonSentence,false
30,ViolentConvictionsRate,HazardousDrinkingAfterRelease,false
31,ProblematicLifeEvents,MentalIllnessDL,false
32,SocialWithdraw,ViolentConvictions,false
33,TimeAtRisk,AlcoholTreatmentGivenRFAT,false
34,Violence,EcstasyDependence,false
35,ComplianceWithSupervision,Anger,false
36,BPD,ViolentConvictions,false
37,PCLRfactor2,DrugTreatment,false
38,HazardousDrinkingPT,ParanoidDelusions,false
39,SubstanceMisuseDL,AggressionDL,false
40,BPD,SymptomsOfMentalIllness,false
41,CannabisDependence,ResponseToTreatGivenDrugDep,false
42,AngerManagement,PCLRfactor2,false
43,AngerManagementGivenRFAT,AlcoholTreatment,false
44,Hallucinations,CannabisDuringPrisonSentence,false
45,pclrscore,PCLRfactor1,false
46,ViolentConvictions,SocialWithdraw,false
47,CocaineDependence,AlcoholDependence,false
48,RefuseFailToAttendTherapy,Intelligence,false
49,AttitudeDL,PCLRfactor1,false
50,pclrscore,SocialProtectiveObs,false
51,FinancialDifficulties,AbilityToCope,false
52,AbuseNeglectAsChild,CocaineDuringPrisonSentence,false
53,AlcoholTreatment,ThoughtInsertion,false
54,Gender,AlcoholDependence,false
55,AnyDrugDependence,AbilityToCope,false
