ID,Variable1,Variable2,TrueOrFalse
0,CriminalFamilyBackground,CriminalNetwork,true
1,CriminalAttitude,AttitudeDL,true
2,SymptomsOfMentalIllness,Hallucinations,true
3,AngerPT,ASPD,true
4,LivingCircumstances,DomesticStability,true
5,BPD,Impulsivity,true
6,ResponsivenessToTreatment,AnxietyPT,true
7,ResponsivenessToTreatment,ResponseToTreatGivenAlcDep,true
8,ParanoidDelusions,ParanoidDelusionsPT,true
9,DepressionPT,FinancialDifficulties,true
10,EcstasyDependence,AnyDrugDependence,true
11,SymptomsOfMentalIllness,Anxiety,true
12,PsychiatricTreatmentGivenRFAT,HallucinationsPT,true
13,HazardousDrinkingAfterRelease,HazardousDrinkingPT,true
14,HazardousDrinkingPT,SubstanceUse,true
15,CannabisAfterRelease,CannabisPT,true
16,CocaineDependence,AnyDrugDependence,true
17,ResponseToTreatGivenAlcDep,HazardousDrinkingPT,true
18,ViolentConvRateGivenProt,ViolentConvictions,true
19,ResponsivenessToTreatment,PCLRfactor1,true
20,CocaineBeforePrisonSentence,CocaineAfterRelease,true
21,CriminalNetwork,NegativeAttitude,true
22,ResponsivenessToTreatment,DepressionPT,true
23,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
24,CannabisDependence,AnyDrugDependence,true
25,ResponsivenessToTreatment,AngerPT,true
26,SymptomsOfMentalIllness,ParanoidDelusions,true
27,Victimisation,ProblematicLifeEvents,true
28,PsychiatricTreatment,Gender,false
29,EcstasyDependence,CocaineAfterRelease,false
30,StrangeExperiencesPT,CriminalNetwork,false
31,MentalIllnessSymptomCount,Violence,false
32,CocaineAfterRelease,ParanoidDelusions,false
33,ViolentConvictions,Anger,false
34,CriminalNetwork,AnyDrugDependence,false
35,ParanoidDelusions,Gender,false
36,HazardousDrinkingAfterRelease,EcstasyPT,false
37,EcstasyPT,AbuseNeglectAsChild,false
38,SocialWithdraw,DrugTreatmentGivenRFAT,false
39,AngerPT,pclrscore,false
40,ViolentConvRateGivenProt,CriminalAttitude,false
41,HazardousDrinkingPT,SocialProtectiveObs,false
42,EcstasyDependence,HazardousDrinkingAfterRelease,false
43,NegativeAttitude,SubstanceMisuseDL,false
44,ResponseToTreatGivenAlcDep,PCLRfacet3,false
45,CannabisPT,LivingCircumstances,false
46,DomesticStability,CocaineAfterRelease,false
47,SocialProtectiveObs,Anxiety,false
48,ProblematicLifeEvents,EmploymentOrTraining,false
49,DepressionPT,EcstasyAfterRelease,false
50,GangMember,EcstasyAfterRelease,false
51,DrugTreatmentGivenRFAT,EmploymentOrTraining,false
52,Victimisation,ASPD,false
53,HallucinationsPT,PCLRfactor1,false
54,PCLRfacet3,GangMember,false
55,PsychiatricTreatmentGivenRFAT,ViolentThoughts,false
