ID,Variable1,Variable2,TrueOrFalse
0,SocialWithdraw,SocialProtectiveObs,true
1,ResponseToTreatGivenAlcDep,HazardousDrinkingPT,true
2,GangMember,CriminalAttitude,true
3,RefuseFailToAttendTherapy,AlcoholTreatmentGivenRFAT,true
4,ResponsivenessToTreatment,AngerPT,true
5,LivingCircumstances,DomesticStability,true
6,Depression,DepressionPT,true
7,CocaineDuringPrisonSentence,CocaineDependence,true
8,CriminalAttitude,AttitudeDL,true
9,Impulsivity,PCLRfacet3,true
10,FinancialDifficulties,Stress,true
11,Violence,Gender,true
12,CannabisDuringPrisonSentence,CannabisAfterRelease,true
13,Intelligence,ResponsivenessToTreatment,true
14,ViolentThoughts,AggressionDL,true
15,EcstasyDuringPrisonSentence,EcstasyDependence,true
16,CriminalFamilyBackground,CriminalNetwork,true
17,MentalIllnessDL,ViolentConvictionsRate,true
18,SocialWithdraw,CriminalNetwork,true
19,ASPD,Impulsivity,true
20,HazardousDrinkingAfterRelease,AlcoholDependence,true
21,AngerManagement,AngerManagementGivenRFAT,true
22,LivingCircumstances,CriminalNetwork,true
23,CannabisPT,SubstanceUse,true
24,Education,Intelligence,true
25,ResponsivenessToTreatment,ThoughtInsertionPT,true
26,SocialWithdraw,DomesticStability,true
27,CocainePT,SubstanceUse,true
28,pclrscore,PCLRfactor1,false
29,AngerManagement,AbuseNeglectAsChild,false
30,RefuseFailToAttendTherapy,Impulsivity,false
31,EcstasyPT,StrangeExperiences,false
32,LivingCircumstances,HazardousDrinkingPT,false
33,Anxiety,PCLRfacet3,false
34,ViolentConvictionsRate,CocainePT,false
35,AngerManagementGivenRFAT,BPD,false
36,AngerManagementGivenRFAT,CannabisPT,false
37,CannabisPT,DrugTreatmentGivenRFAT,false
38,SubstanceUse,prioracq,false
39,Anger,Intelligence,false
40,ParanoidDelusions,CocaineDependence,false
41,Intelligence,BPD,false
42,PCLRfactor2,AlcoholTreatment,false
43,EcstasyDependence,EcstasyDuringPrisonSentence,false
44,ParanoidDelusionsPT,Violence,false
45,ParanoidDelusions,CannabisDuringPrisonSentence,false
46,RefuseFailToAttendTherapy,ParanoidDelusions,false
47,HazardousDrinkingAfterRelease,SubstanceMisuseDL,false
48,AlcoholDependence,SubstanceMisuseDL,false
49,Violence,AlcoholTreatment,false
50,DrugTreatment,CriminalFamilyBackground,false
51,PsychiatricTreatmentGivenRFAT,CannabisBeforePrisonSentence,false
52,CocaineBeforePrisonSentence,AbuseNeglectAsChild,false
53,PsychiatricTreatmentGivenRFAT,AlcoholTreatment,false
54,Intelligence,AlcoholTreatmentGivenRFAT,false
55,HallucinationsPT,BPD,false
