ID,Variable1,Variable2,TrueOrFalse
0,Violence,pclrscore,true
1,EcstasyDependence,AnyDrugDependence,true
2,ResponsivenessToTreatment,HallucinationsPT,true
3,DepressionPT,SocialWithdraw,true
4,MentalIllnessSymptomCount,MentalIllnessDL,true
5,CocaineBeforePrisonSentence,CocaineAfterRelease,true
6,ResponsivenessToTreatment,StrangeExperiencesPT,true
7,CocaineAfterRelease,CocainePT,true
8,SubstanceUse,SubstanceMisuseDL,true
9,GangMember,NegativeAttitude,true
10,LivingCircumstances,CriminalNetwork,true
11,CriminalNetwork,CriminalAttitude,true
12,ResponsivenessToTreatment,AnxietyPT,true
13,ViolentConvRateGivenProt,ViolentConvictions,true
14,EmploymentOrTraining,FinancialDifficulties,true
15,CriminalNetwork,NegativeAttitude,true
16,ParanoidDelusionsPT,MentalIllnessSymptomCount,true
17,AlcoholTreatment,AlcoholTreatmentGivenRFAT,true
18,AngerPT,BPD,true
19,CannabisBeforePrisonSentence,CannabisDuringPrisonSentence,true
20,AnxietyPT,FinancialDifficulties,true
21,ResponsivenessToTreatment,ThoughtInsertionPT,true
22,CriminalNetwork,GangMember,true
23,SymptomsOfMentalIllness,Anxiety,true
24,LivingCircumstances,SocialProtectiveObs,true
25,CocaineBeforePrisonSentence,CocaineDuringPrisonSentence,true
26,AbuseNeglectAsChild,ASPD,true
27,NegativeAttitude,AttitudeDL,true
28,EcstasyPT,ThoughtInsertionPT,false
29,ParanoidDelusionsPT,LivingCircumstances,false
30,SubstanceMisuseDL,AbilityToCope,false
31,FinancialDifficulties,AngerManagement,false
32,ViolentThoughts,DrugTreatmentGivenRFAT,false
33,ProblematicLifeEvents,ThoughtInsertion,false
34,ThoughtInsertion,AngerManagementGivenRFAT,false
35,EcstasyBeforePrisonSentence,ThoughtInsertionPT,false
36,HazardousDrinkingAfterRelease,NegativeAttitude,false
37,Education,CriminalAttitude,false
38,EcstasyDuringPrisonSentence,pclrscore,false
39,CriminalAttitude,AngerManagement,false
40,Gender,Impulsivity,false
41,DrugTreatmentGivenRFAT,ThoughtInsertion,false
42,PsychiatricTreatment,ViolentConvRateGivenProt,false
43,StrangeExperiences,EmploymentOrTraining,false
44,HazardousDrinkingPT,pclrscore,false
45,MentalIllnessDL,NegativeAttitude,false
46,AlcoholTreatment,Age,false
47,NegativeAttitude,AnyDrugDependence,false
48,MentalIllnessDL,PsychiatricTreatment,false
49,Age,AggressionDL,false
50,Stress,CannabisDependence,false
51,Victimisation,ThoughtInsertion,false
52,ViolentConvictionsRate,ResponseToTreatGivenDrugDep,false
53,prioracq,Victimisation,false
54,CriminalAttitude,GangMember,false
55,ComplianceWithSupervision,ParanoidDelusions,false
