ID,Variable1,Variable2,TrueOrFalse
0,Anger,AngerPT,true
1,PsychiatricTreatmentGivenRFAT,StrangeExperiencesPT,true
2,AnxietyPT,MentalIllnessSymptomCount,true
3,FinancialDifficulties,LivingCircumstances,true
4,ResponsivenessToTreatment,AngerPT,true
5,EcstasyDependence,AnyDrugDependence,true
6,ResponseToTreatGivenAlcDep,HazardousDrinkingPT,true
7,ResponsivenessToTreatment,ResponseToTreatGivenAlcDep,true
8,CocaineDuringPrisonSentence,CocaineAfterRelease,true
9,AngerManagementGivenRFAT,AngerPT,true
10,SocialWithdraw,CriminalNetwork,true
11,Violence,Gender,true
12,CocaineBeforePrisonSentence,CocaineDuringPrisonSentence,true
13,ComplianceWithSupervision,NegativeAttitude,true
14,FinancialDifficulties,Stress,true
15,TimeAtRisk,ViolentConvictions,true
16,CannabisDuringPrisonSentence,CannabisAfterRelease,true
17,ASPD,PCLRfactor2,true
18,Violence,pclrscore,true
19,Victimisation,ProblematicLifeEvents,true
20,PsychiatricTreatment,PsychiatricTreatmentGivenRFAT,true
21,DrugTreatmentGivenRFAT,EcstasyPT,true
22,RefuseFailToAttendTherapy,PsychiatricTreatmentGivenRFAT,true
23,CannabisPT,SubstanceUse,true
24,PsychiatricTreatmentGivenRFAT,ThoughtInsertionPT,true
25,ResponseToTreatGivenDrugDep,EcstasyPT,true
26,MentalIllnessSymptomCount,MentalIllnessDL,true
27,EmploymentOrTraining,FinancialDifficulties,true
28,NegativeAttitude,Education,false
29,ViolentThoughts,Intelligence,false
30,CriminalNetwork,Gender,false
31,ResponsivenessToTreatment,HazardousDrinkingAfterRelease,false
32,ThoughtInsertion,Impulsivity,false
33,AlcoholTreatmentGivenRFAT,CannabisDuringPrisonSentence,false
34,Anger,Victimisation,false
35,AngerManagementGivenRFAT,ViolentConvictions,false
36,CocaineDuringPrisonSentence,RefuseFailToAttendTherapy,false
37,AngerPT,AbilityToCope,false
38,HallucinationsPT,AbuseNeglectAsChild,false
39,pclrscore,EcstasyPT,false
40,CriminalFamilyBackground,Impulsivity,false
41,PCLRfacet3,PCLRfactor2,false
42,CriminalFamilyBackground,MentalIllnessDL,false
43,Impulsivity,FinancialDifficulties,false
44,StrangeExperiences,HazardousDrinkingPT,false
45,Impulsivity,AngerManagement,false
46,Anxiety,LivingCircumstances,false
47,SubstanceUse,StrangeExperiencesPT,false
48,CriminalFamilyBackground,Anxiety,false
49,prioracq,CannabisDuringPrisonSentence,false
50,AlcoholDependence,TimeAtRisk,false
51,AngerManagement,SocialProtectiveObs,false
52,PsychiatricTreatmentGivenRFAT,ASPD,false
53,Victimisation,CannabisPT,false
54,CriminalNetwork,PCLRfactor2,false
55,ResponseToTreatGivenDrugDep,Anger,false
