ID,Variable1,Variable2,TrueOrFalse
0,ECO_WealthQuintile,HOU_ModernWallMaterial,true
1,ECO_WealthQuintile,WSH_SafeStoolDisposal,true
2,ECO_WealthQuintile,KNW_WatchTV,true
3,WSH_ImprovedToilet,WSH_WashWithAgent,true
4,CUL_LanguageGroup,MTH_Education,true
5,GEO_Region,CUL_LanguageGroup,true
6,MTH_MaternalAge,FP_ModernMethod,true
7,CUL_LanguageGroup,WSH_ImprovedWaterSource,true
8,WSH_ImprovedWaterSource,DIA_HadDiarrhoea,true
9,GEO_Region,ECO_WealthQuintile,true
10,WSH_ImprovedToilet,WSH_SafeStoolDisposal,true
11,SRV_Near,DEL_SmallBaby,true
12,GEO_Region,BF_BottleFeeding,true
13,MTH_Education,WSH_WaterTreated,true
14,HOU_ModernWallMaterial,BF_BreastfedMonths,false
15,DIA_HadDiarrhoea,ECO_WealthQuintile,false
16,MTH_MaternalAge,SRV_OKAlone,false
17,HOU_CookingFuel,IMM_Measles,false
18,BF_BreastfedMonths,HOU_ModernWallMaterial,false
19,SRV_OKAlone,IMM_Diptheria,false
20,HOU_ModernWallMaterial,WSH_SafeStoolDisposal,false
21,WSH_WashWithAgent,BF_BottleFeeding,false
22,DIA_HadDiarrhoea,WSH_SafeStoolDisposal,false
23,DEL_SmallBaby,DIA_HadDiarrhoea,false
24,MTH_MaternalAge,BF_EarlyBreastfeeding,false
25,IMM_VitaminA1,GEO_Region,false
26,KNW_WatchTV,WSH_ImprovedWaterSource,false
27,CUL_LanguageGroup,BF_BreastfedMonths,false
