ID,Variable1,Variable2,TrueOrFalse
0,FP_BirthsLast5Yrs,CHI_Age,true
1,ECO_WealthQuintile,WSH_WashWithAgent,true
2,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
3,CUL_LanguageGroup,HOU_ModernWallMaterial,true
4,CUL_LanguageGroup,ECO_WealthQuintile,true
5,ECO_WealthQuintile,SRV_OKAlone,true
6,BF_EarlyBreastfeeding,DIA_HadDiarrhoea,true
7,ECO_WealthQuintile,BF_BottleFeeding,true
8,CUL_LanguageGroup,WSH_ImprovedWaterSource,true
9,CUL_Religion,BF_BreastfedMonths,true
10,MTH_Education,IMM_Diptheria,true
11,IMM_VitaminA1,IMM_Measles,true
12,WSH_SafeStoolDisposal,DIA_HadDiarrhoea,true
13,MTH_Education,KNW_WatchTV,true
14,FP_ModernMethod,SRV_OKAlone,false
15,IMM_VitaminA1,MTH_MaternalAge,false
16,WSH_ImprovedToilet,IMM_Measles,false
17,BF_EarlyBreastfeeding,WSH_SafeStoolDisposal,false
18,KNW_WatchTV,CUL_Religion,false
19,DIA_HadDiarrhoea,IMM_Diptheria,false
20,GEO_Region,BF_BreastfedMonths,false
21,IMM_Diptheria,FP_ModernMethod,false
22,WSH_ImprovedToilet,IMM_VitaminA1,false
23,HOU_CookingFuel,FP_ModernMethod,false
24,FP_ModernMethod,WSH_SafeStoolDisposal,false
25,IMM_VitaminA1,HOU_CookingFuel,false
26,DIA_HadDiarrhoea,WSH_ImprovedToilet,false
27,BF_BottleFeeding,IMM_Diptheria,false
