ID,Variable1,Variable2,TrueOrFalse
0,CUL_LanguageGroup,HOU_ModernWallMaterial,true
1,WSH_WashWithAgent,DIA_HadDiarrhoea,true
2,CUL_LanguageGroup,ECO_WealthQuintile,true
3,ECO_WealthQuintile,CHI_Weight4Height,true
4,IMM_VitaminA1,IMM_Measles,true
5,IMM_Measles,DIA_HadDiarrhoea,true
6,CHI_Age,BF_BottleFeeding,true
7,CHI_Age,IMM_Diptheria,true
8,CUL_LanguageGroup,HOU_CookingFuel,true
9,WSH_SafeStoolDisposal,DIA_HadDiarrhoea,true
10,ECO_WealthQuintile,FP_BirthsLast5Yrs,true
11,MTH_Education,BF_BottleFeeding,true
12,ECO_WealthQuintile,WSH_ImprovedToilet,true
13,CHI_Age,BF_BreastfedMonths,true
14,MTH_MaternalAge,CUL_LanguageGroup,false
15,CUL_Religion,IMM_VitaminA1,false
16,SRV_OKAlone,BF_BottleFeeding,false
17,WSH_WashWithAgent,SRV_OKAlone,false
18,HOU_ModernWallMaterial,CUL_Religion,false
19,FP_BirthsLast5Yrs,IMM_VitaminA1,false
20,CHI_Weight4Height,CUL_Religion,false
21,IMM_Measles,WSH_SafeStoolDisposal,false
22,BF_EarlyBreastfeeding,SRV_Near,false
23,WSH_ImprovedWaterSource,DEL_SmallBaby,false
24,BF_BreastfedMonths,IMM_Diptheria,false
25,MTH_MaternalAge,SRV_Near,false
26,WSH_WashWithAgent,MTH_Education,false
27,WSH_WaterTreated,SRV_Near,false
