ID,Variable1,Variable2,TrueOrFalse
0,WSH_ImprovedToilet,WSH_ImprovedWaterSource,true
1,WSH_ImprovedToilet,WSH_WashWithAgent,true
2,FP_BirthsLast5Yrs,CHI_Age,true
3,MTH_Education,SRV_Near,true
4,MTH_Education,IMM_VitaminA1,true
5,MTH_Education,KNW_WatchTV,true
6,WSH_ImprovedWaterSource,WSH_WaterTreated,true
7,GEO_Region,BF_EarlyBreastfeeding,true
8,ECO_WealthQuintile,BF_BottleFeeding,true
9,CUL_LanguageGroup,MTH_Education,true
10,CHI_Age,BF_BreastfedMonths,true
11,CUL_LanguageGroup,ECO_WealthQuintile,true
12,CUL_LanguageGroup,BF_EarlyBreastfeeding,true
13,DEL_SmallBaby,CHI_Weight4Height,true
14,FP_BirthsLast5Yrs,IMM_Measles,false
15,KNW_WatchTV,HOU_ModernWallMaterial,false
16,FP_ModernMethod,HOU_ModernWallMaterial,false
17,BF_BreastfedMonths,HOU_CookingFuel,false
18,CHI_Weight4Height,HOU_ModernWallMaterial,false
19,IMM_Diptheria,MTH_MaternalAge,false
20,HOU_ModernWallMaterial,SRV_Near,false
21,WSH_WaterTreated,WSH_ImprovedWaterSource,false
22,FP_ModernMethod,CHI_Age,false
23,BF_BottleFeeding,KNW_WatchTV,false
24,BF_BottleFeeding,DEL_SmallBaby,false
25,WSH_WaterTreated,HOU_ModernWallMaterial,false
26,BF_BreastfedMonths,CHI_Weight4Height,false
27,BF_EarlyBreastfeeding,BF_BottleFeeding,false
