ID,Variable1,Dependency,Variable2
1,propertyExpenses,->,propertyManagement
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,actualRentalIncome,->,rentalGrossProfit
4,actualRentalIncome,->,rentalIncomeT+1
5,actualRentalIncome,->,rentalIncome
6,otherPropertyExpenses,->,propertyExpenses
7,otherPropertyExpenses,->,rentalGrowth
8,rentalNetProfitBeforeInterest,->,netProfit
9,rentalIncomeLoss%,->,rentalNetProfitBeforeInterest
10,propertyPurchaseValue,->,rentalGrossYield
11,propertyPurchaseValue,->,propertyValueT+1
12,stampDutyTaxBand,->,propertyPurchaseValue
13,stampDutyTaxBand,->,LTV
14,stampDutyTax,->,stampDutyTaxBand
15,otherPropertyExpensesT+1,->,otherPropertyExpenses
16,propertyExpensesGrowth,->,otherPropertyExpensesT+1
17,rentalGrowth,->,rentalNetProfitBeforeInterest
18,capitalGrowth,->,capitalGains
19,incomeTax,->,actualRentalIncome
20,interestTaxRelief,->,netProfit
21,interest,->,interestTaxRelief
22,interest,->,borrowing
23,interestRate,->,interest
24,borrowing,->,LTV
25,borrowing,->,capitalGrowth
26,otherInterestFees,->,netProfit
