ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,capitalGains
3,propertyManagement,->,netProfit
4,propertyExpenses,->,rentalGrossProfit
5,propertyExpenses,->,otherInterestFees
6,rentalGrossProfit,->,rentalNetProfitBeforeInterest
7,actualRentalIncome,->,rentalGrossProfit
8,actualRentalIncome,->,rentalIncomeT+1
9,actualRentalIncome,->,rentalIncome
10,rentalGrossYield,->,actualRentalIncome
11,rentalIncomeLoss%,->,rentalIncome
12,propertyPurchaseValue,->,rentalGrossYield
13,propertyPurchaseValue,->,propertyValueT+1
14,propertyPurchaseValue,->,capitalGains
15,propertyValueT+1,->,rentalNetProfitBeforeInterest
16,propertyValueT+1,->,capitalGrowth
17,stampDutyTaxBand,->,propertyPurchaseValue
18,stampDutyTaxBand,->,LTV
19,stampDutyTax,->,stampDutyTaxBand
20,capitalGains,->,rentalIncomeLoss%
21,otherPropertyExpensesT+1,->,propertyExpenses
22,otherPropertyExpensesT+1,->,otherPropertyExpenses
23,propertyExpensesGrowth,->,otherPropertyExpensesT+1
24,rentalGrowth,->,rentalNetProfitBeforeInterest
25,rentalGrowth,->,interest
26,capitalGrowth,->,capitalGains
27,capitalGrowth,->,netProfit
28,incomeTax,->,propertyExpenses
29,incomeTax,->,rentalNetProfitBeforeInterest
30,netProfit,->,rentalIncome
31,interest,->,capitalGains
32,interest,->,propertyExpensesGrowth
33,interest,->,interestTaxRelief
34,interest,->,netProfit
35,interestRate,->,interest
36,borrowing,->,interest
37,otherInterestFees,->,rentalGrowth
