ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,LTV
3,propertyManagement,->,propertyExpensesGrowth
4,rentalGrossProfit,->,rentalNetProfitBeforeInterest
5,rentalGrossProfit,->,rentalIncomeLoss%
6,actualRentalIncome,->,rentalGrossProfit
7,actualRentalIncome,->,rentalGrossYield
8,actualRentalIncome,->,rentalIncomeT+1
9,otherPropertyExpenses,->,propertyExpenses
10,otherPropertyExpenses,->,LTV
11,rentalNetProfitBeforeInterest,->,otherPropertyExpensesT+1
12,rentalNetProfitBeforeInterest,->,incomeTax
13,rentalNetProfitBeforeInterest,->,netProfit
14,rentalIncomeT+1,->,propertyExpenses
15,rentalIncomeT+1,->,rentalGrowth
16,rentalIncomeLoss%,->,LTV
17,rentalIncome,->,actualRentalIncome
18,rentalIncome,->,propertyPurchaseValue
19,propertyPurchaseValue,->,LTV
20,propertyPurchaseValue,->,propertyValueT+1
21,propertyPurchaseValue,->,stampDutyTaxBand
22,propertyPurchaseValue,->,stampDutyTax
23,stampDutyTaxBand,->,rentalGrossYield
24,capitalGains,->,propertyExpensesGrowth
25,otherPropertyExpensesT+1,->,otherPropertyExpenses
26,propertyExpensesGrowth,->,interest
27,capitalGrowth,->,propertyExpenses
28,capitalGrowth,->,capitalGains
29,interest,->,LTV
30,interest,->,interestTaxRelief
31,interest,->,netProfit
32,interestRate,->,interest
33,borrowing,->,LTV
34,otherInterestFees,->,rentalGrossYield
35,otherInterestFees,->,interest
