ID,Variable1,Dependency,Variable2
1,propertyManagement,->,capitalGains
2,propertyExpenses,->,capitalGains
3,rentalGrossProfit,->,rentalIncomeT+1
4,rentalGrossProfit,->,propertyExpensesGrowth
5,actualRentalIncome,->,rentalIncome
6,otherPropertyExpenses,->,propertyExpenses
7,rentalNetProfitBeforeInterest,->,rentalGrossProfit
8,rentalIncomeT+1,->,actualRentalIncome
9,rentalIncomeLoss%,->,rentalNetProfitBeforeInterest
10,rentalIncomeLoss%,->,capitalGains
11,rentalIncomeLoss%,->,interest
12,rentalIncome,->,otherPropertyExpensesT+1
13,propertyPurchaseValue,->,stampDutyTaxBand
14,LTV,->,borrowing
15,propertyValueT+1,->,propertyPurchaseValue
16,propertyValueT+1,->,capitalGains
17,propertyValueT+1,->,propertyExpensesGrowth
18,stampDutyTaxBand,->,rentalGrossYield
19,stampDutyTaxBand,->,stampDutyTax
20,stampDutyTax,->,LTV
21,otherPropertyExpensesT+1,->,otherPropertyExpenses
22,rentalGrowth,->,otherPropertyExpensesT+1
23,rentalGrowth,->,netProfit
24,capitalGrowth,->,capitalGains
25,incomeTax,->,rentalNetProfitBeforeInterest
26,interestTaxRelief,->,netProfit
27,netProfit,->,rentalNetProfitBeforeInterest
28,interest,->,propertyExpensesGrowth
29,interest,->,interestTaxRelief
30,interestRate,->,capitalGains
31,interestRate,->,interest
32,borrowing,->,interest
33,otherInterestFees,->,rentalNetProfitBeforeInterest
34,otherInterestFees,->,rentalGrowth
