ID,Variable1,Dependency,Variable2
1,propertyExpenses,->,interestRate
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,actualRentalIncome,->,rentalGrossProfit
4,actualRentalIncome,->,rentalGrossYield
5,actualRentalIncome,->,rentalIncomeT+1
6,actualRentalIncome,->,interest
7,otherPropertyExpenses,->,propertyExpenses
8,otherPropertyExpenses,->,LTV
9,otherPropertyExpenses,->,otherPropertyExpensesT+1
10,rentalNetProfitBeforeInterest,->,propertyManagement
11,rentalNetProfitBeforeInterest,->,capitalGains
12,rentalNetProfitBeforeInterest,->,netProfit
13,rentalIncomeLoss%,->,rentalGrossYield
14,rentalIncomeLoss%,->,netProfit
15,rentalIncome,->,actualRentalIncome
16,propertyPurchaseValue,->,propertyValueT+1
17,propertyPurchaseValue,->,stampDutyTaxBand
18,propertyPurchaseValue,->,incomeTax
19,LTV,->,interestRate
20,stampDutyTaxBand,->,rentalGrossYield
21,stampDutyTaxBand,->,capitalGains
22,stampDutyTax,->,propertyPurchaseValue
23,stampDutyTax,->,LTV
24,capitalGains,->,propertyExpensesGrowth
25,rentalGrowth,->,rentalIncomeT+1
26,rentalGrowth,->,rentalIncomeLoss%
27,rentalGrowth,->,interest
28,capitalGrowth,->,capitalGains
29,incomeTax,->,otherPropertyExpenses
30,incomeTax,->,rentalGrossYield
31,interestTaxRelief,->,propertyManagement
32,netProfit,->,otherInterestFees
33,interest,->,interestTaxRelief
34,interestRate,->,interest
35,interestRate,->,otherInterestFees
36,borrowing,->,rentalIncomeT+1
37,borrowing,->,rentalIncomeLoss%
38,borrowing,->,LTV
39,borrowing,->,interest
40,otherInterestFees,->,interest
