ID,Variable1,Dependency,Variable2
1,propertyExpenses,->,rentalGrossProfit
2,rentalGrossProfit,->,propertyManagement
3,actualRentalIncome,->,rentalGrossProfit
4,actualRentalIncome,->,rentalIncomeT+1
5,actualRentalIncome,->,rentalIncome
6,actualRentalIncome,->,capitalGains
7,actualRentalIncome,->,incomeTax
8,otherPropertyExpenses,->,propertyExpenses
9,rentalNetProfitBeforeInterest,->,rentalGrossProfit
10,rentalNetProfitBeforeInterest,->,netProfit
11,rentalGrossYield,->,netProfit
12,rentalIncomeT+1,->,rentalNetProfitBeforeInterest
13,rentalIncomeLoss%,->,propertyManagement
14,propertyPurchaseValue,->,rentalGrossYield
15,propertyPurchaseValue,->,propertyValueT+1
16,propertyPurchaseValue,->,stampDutyTaxBand
17,propertyPurchaseValue,->,capitalGains
18,LTV,->,borrowing
19,propertyValueT+1,->,capitalGrowth
20,stampDutyTaxBand,->,propertyExpenses
21,stampDutyTaxBand,->,stampDutyTax
22,stampDutyTax,->,LTV
23,otherPropertyExpensesT+1,->,otherPropertyExpenses
24,otherPropertyExpensesT+1,->,rentalNetProfitBeforeInterest
25,propertyExpensesGrowth,->,rentalNetProfitBeforeInterest
26,rentalGrowth,->,rentalGrossYield
27,capitalGrowth,->,rentalIncomeLoss%
28,capitalGrowth,->,capitalGains
29,incomeTax,->,rentalGrowth
30,interestTaxRelief,->,propertyExpenses
31,netProfit,->,propertyValueT+1
32,netProfit,->,otherInterestFees
33,interest,->,otherPropertyExpensesT+1
34,interest,->,rentalGrowth
35,interest,->,interestTaxRelief
36,interest,->,netProfit
37,interestRate,->,rentalIncomeLoss%
38,interestRate,->,interest
