ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,LTV
3,rentalGrossProfit,->,propertyExpenses
4,rentalGrossProfit,->,otherInterestFees
5,actualRentalIncome,->,rentalNetProfitBeforeInterest
6,actualRentalIncome,->,rentalIncome
7,otherPropertyExpenses,->,propertyExpenses
8,otherPropertyExpenses,->,rentalNetProfitBeforeInterest
9,otherPropertyExpenses,->,otherPropertyExpensesT+1
10,rentalNetProfitBeforeInterest,->,rentalGrossProfit
11,rentalGrossYield,->,rentalNetProfitBeforeInterest
12,rentalGrossYield,->,incomeTax
13,rentalIncomeLoss%,->,rentalNetProfitBeforeInterest
14,rentalIncomeLoss%,->,propertyExpensesGrowth
15,propertyPurchaseValue,->,propertyValueT+1
16,propertyPurchaseValue,->,stampDutyTaxBand
17,stampDutyTaxBand,->,rentalGrossYield
18,stampDutyTaxBand,->,stampDutyTax
19,stampDutyTax,->,LTV
20,capitalGains,->,incomeTax
21,otherPropertyExpensesT+1,->,rentalIncomeLoss%
22,otherPropertyExpensesT+1,->,interestRate
23,rentalGrowth,->,rentalIncomeT+1
24,capitalGrowth,->,rentalNetProfitBeforeInterest
25,capitalGrowth,->,capitalGains
26,interestTaxRelief,->,netProfit
27,netProfit,->,actualRentalIncome
28,netProfit,->,rentalIncomeT+1
29,interest,->,propertyExpenses
30,interest,->,LTV
31,interest,->,interestTaxRelief
32,interestRate,->,rentalNetProfitBeforeInterest
33,interestRate,->,interest
34,borrowing,->,LTV
35,otherInterestFees,->,rentalNetProfitBeforeInterest
