ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,rentalGrossProfit
3,propertyManagement,->,otherPropertyExpenses
4,propertyExpenses,->,rentalGrowth
5,rentalGrossProfit,->,rentalNetProfitBeforeInterest
6,actualRentalIncome,->,rentalGrossProfit
7,actualRentalIncome,->,rentalIncomeT+1
8,actualRentalIncome,->,rentalIncomeLoss%
9,actualRentalIncome,->,rentalIncome
10,otherPropertyExpenses,->,propertyExpenses
11,otherPropertyExpenses,->,otherPropertyExpensesT+1
12,rentalNetProfitBeforeInterest,->,capitalGrowth
13,rentalGrossYield,->,interestRate
14,propertyPurchaseValue,->,otherPropertyExpenses
15,propertyPurchaseValue,->,rentalGrossYield
16,propertyPurchaseValue,->,stampDutyTaxBand
17,propertyValueT+1,->,capitalGrowth
18,stampDutyTax,->,rentalIncomeLoss%
19,stampDutyTax,->,LTV
20,capitalGains,->,propertyPurchaseValue
21,capitalGains,->,propertyValueT+1
22,capitalGains,->,rentalGrowth
23,otherPropertyExpensesT+1,->,rentalIncomeT+1
24,propertyExpensesGrowth,->,rentalGrossProfit
25,rentalGrowth,->,rentalIncomeT+1
26,rentalGrowth,->,interest
27,incomeTax,->,rentalNetProfitBeforeInterest
28,incomeTax,->,rentalIncomeLoss%
29,incomeTax,->,interest
30,interestTaxRelief,->,rentalIncomeLoss%
31,interestTaxRelief,->,netProfit
32,netProfit,->,rentalNetProfitBeforeInterest
33,interest,->,stampDutyTax
34,interest,->,interestTaxRelief
35,interest,->,netProfit
36,interestRate,->,interest
37,borrowing,->,propertyExpenses
38,borrowing,->,interest
39,otherInterestFees,->,rentalGrossProfit
40,otherInterestFees,->,capitalGains
