ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,rentalGrossProfit
3,rentalGrossProfit,->,rentalNetProfitBeforeInterest
4,actualRentalIncome,->,rentalGrossProfit
5,actualRentalIncome,->,rentalIncomeT+1
6,otherPropertyExpenses,->,propertyExpenses
7,otherPropertyExpenses,->,rentalGrossProfit
8,otherPropertyExpenses,->,incomeTax
9,rentalNetProfitBeforeInterest,->,incomeTax
10,rentalNetProfitBeforeInterest,->,netProfit
11,rentalIncomeT+1,->,propertyExpensesGrowth
12,rentalIncomeLoss%,->,rentalGrossProfit
13,rentalIncome,->,actualRentalIncome
14,rentalIncome,->,rentalNetProfitBeforeInterest
15,propertyPurchaseValue,->,stampDutyTaxBand
16,propertyPurchaseValue,->,incomeTax
17,propertyValueT+1,->,propertyPurchaseValue
18,stampDutyTaxBand,->,rentalGrossYield
19,stampDutyTaxBand,->,LTV
20,stampDutyTaxBand,->,stampDutyTax
21,stampDutyTaxBand,->,capitalGains
22,capitalGains,->,capitalGrowth
23,otherPropertyExpensesT+1,->,otherPropertyExpenses
24,rentalGrowth,->,LTV
25,capitalGrowth,->,rentalGrossProfit
26,capitalGrowth,->,incomeTax
27,interestTaxRelief,->,interest
28,interest,->,rentalNetProfitBeforeInterest
29,interest,->,LTV
30,interest,->,interestRate
31,interestRate,->,propertyExpenses
32,borrowing,->,LTV
33,otherInterestFees,->,rentalGrossProfit
