ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,rentalNetProfitBeforeInterest
3,rentalGrossProfit,->,rentalNetProfitBeforeInterest
4,actualRentalIncome,->,propertyExpenses
5,actualRentalIncome,->,rentalGrossProfit
6,actualRentalIncome,->,rentalIncomeT+1
7,otherPropertyExpenses,->,propertyExpenses
8,rentalNetProfitBeforeInterest,->,LTV
9,rentalGrossYield,->,stampDutyTaxBand
10,rentalIncomeLoss%,->,propertyExpenses
11,rentalIncomeLoss%,->,rentalNetProfitBeforeInterest
12,rentalIncome,->,actualRentalIncome
13,rentalIncome,->,stampDutyTaxBand
14,rentalIncome,->,interest
15,propertyPurchaseValue,->,stampDutyTaxBand
16,propertyPurchaseValue,->,stampDutyTax
17,LTV,->,propertyExpensesGrowth
18,propertyValueT+1,->,propertyPurchaseValue
19,stampDutyTaxBand,->,LTV
20,capitalGains,->,rentalNetProfitBeforeInterest
21,otherPropertyExpensesT+1,->,otherPropertyExpenses
22,otherPropertyExpensesT+1,->,stampDutyTaxBand
23,rentalGrowth,->,interest
24,capitalGrowth,->,capitalGains
25,capitalGrowth,->,netProfit
26,incomeTax,->,rentalNetProfitBeforeInterest
27,incomeTax,->,interest
28,netProfit,->,rentalNetProfitBeforeInterest
29,interest,->,otherPropertyExpensesT+1
30,interest,->,interestTaxRelief
31,interestRate,->,interest
32,borrowing,->,LTV
33,borrowing,->,interest
34,borrowing,->,otherInterestFees
35,otherInterestFees,->,rentalNetProfitBeforeInterest
36,otherInterestFees,->,propertyExpensesGrowth
