ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,rentalGrossProfit,->,rentalNetProfitBeforeInterest
3,rentalGrossProfit,->,propertyPurchaseValue
4,actualRentalIncome,->,rentalGrossProfit
5,actualRentalIncome,->,rentalIncomeT+1
6,actualRentalIncome,->,otherInterestFees
7,otherPropertyExpenses,->,propertyExpenses
8,otherPropertyExpenses,->,rentalGrowth
9,rentalGrossYield,->,rentalNetProfitBeforeInterest
10,rentalIncomeT+1,->,rentalIncome
11,rentalIncomeLoss%,->,rentalGrossProfit
12,propertyPurchaseValue,->,rentalGrossYield
13,propertyPurchaseValue,->,propertyValueT+1
14,propertyPurchaseValue,->,stampDutyTaxBand
15,propertyPurchaseValue,->,propertyExpensesGrowth
16,propertyValueT+1,->,otherInterestFees
17,stampDutyTaxBand,->,propertyExpenses
18,stampDutyTaxBand,->,stampDutyTax
19,stampDutyTaxBand,->,borrowing
20,capitalGains,->,propertyValueT+1
21,otherPropertyExpensesT+1,->,rentalGrossProfit
22,otherPropertyExpensesT+1,->,otherPropertyExpenses
23,propertyExpensesGrowth,->,propertyExpenses
24,capitalGrowth,->,rentalNetProfitBeforeInterest
25,capitalGrowth,->,capitalGains
26,capitalGrowth,->,interestRate
27,incomeTax,->,rentalNetProfitBeforeInterest
28,interestTaxRelief,->,netProfit
29,netProfit,->,propertyManagement
30,netProfit,->,rentalGrossProfit
31,interest,->,incomeTax
32,interest,->,netProfit
33,interest,->,interestRate
34,interestRate,->,propertyValueT+1
35,borrowing,->,rentalGrossYield
36,borrowing,->,LTV
37,borrowing,->,propertyValueT+1
38,borrowing,->,capitalGrowth
39,borrowing,->,interest
40,otherInterestFees,->,rentalIncomeLoss%
