ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,propertyValueT+1
3,propertyExpenses,->,otherPropertyExpenses
4,rentalGrossProfit,->,rentalNetProfitBeforeInterest
5,actualRentalIncome,->,rentalGrossProfit
6,actualRentalIncome,->,rentalIncomeT+1
7,actualRentalIncome,->,rentalIncome
8,otherPropertyExpenses,->,stampDutyTaxBand
9,otherPropertyExpenses,->,otherPropertyExpensesT+1
10,otherPropertyExpenses,->,netProfit
11,rentalNetProfitBeforeInterest,->,netProfit
12,rentalGrossYield,->,actualRentalIncome
13,rentalGrossYield,->,stampDutyTaxBand
14,rentalIncomeLoss%,->,actualRentalIncome
15,rentalIncome,->,propertyExpenses
16,propertyPurchaseValue,->,propertyExpenses
17,propertyPurchaseValue,->,LTV
18,propertyPurchaseValue,->,stampDutyTaxBand
19,LTV,->,netProfit
20,LTV,->,borrowing
21,propertyValueT+1,->,propertyPurchaseValue
22,propertyValueT+1,->,capitalGains
23,stampDutyTaxBand,->,stampDutyTax
24,stampDutyTax,->,otherInterestFees
25,capitalGains,->,capitalGrowth
26,propertyExpensesGrowth,->,netProfit
27,rentalGrowth,->,netProfit
28,interest,->,rentalGrossYield
29,interest,->,capitalGains
30,interest,->,incomeTax
31,interest,->,interestTaxRelief
32,interest,->,netProfit
33,interestRate,->,propertyManagement
34,interestRate,->,interest
35,borrowing,->,propertyExpenses
36,borrowing,->,interest
37,otherInterestFees,->,netProfit
