ID,Variable1,Dependency,Variable2
1,propertyManagement,->,propertyExpenses
2,propertyManagement,->,LTV
3,rentalGrossProfit,->,rentalNetProfitBeforeInterest
4,actualRentalIncome,->,rentalGrossYield
5,actualRentalIncome,->,rentalIncomeT+1
6,actualRentalIncome,->,rentalIncome
7,otherPropertyExpenses,->,propertyExpenses
8,otherPropertyExpenses,->,capitalGains
9,rentalNetProfitBeforeInterest,->,actualRentalIncome
10,rentalNetProfitBeforeInterest,->,netProfit
11,rentalIncomeT+1,->,propertyExpenses
12,rentalIncomeLoss%,->,LTV
13,propertyPurchaseValue,->,propertyValueT+1
14,LTV,->,capitalGains
15,LTV,->,rentalGrowth
16,LTV,->,netProfit
17,propertyValueT+1,->,LTV
18,stampDutyTaxBand,->,rentalGrossYield
19,stampDutyTaxBand,->,propertyPurchaseValue
20,stampDutyTax,->,rentalNetProfitBeforeInterest
21,stampDutyTax,->,LTV
22,stampDutyTax,->,stampDutyTaxBand
23,capitalGains,->,propertyExpensesGrowth
24,capitalGains,->,incomeTax
25,otherPropertyExpensesT+1,->,otherPropertyExpenses
26,capitalGrowth,->,capitalGains
27,incomeTax,->,rentalNetProfitBeforeInterest
28,incomeTax,->,rentalGrossYield
29,interestTaxRelief,->,rentalGrossProfit
30,interest,->,propertyExpenses
31,interest,->,LTV
32,interest,->,interestTaxRelief
33,interestRate,->,interest
34,borrowing,->,LTV
35,otherInterestFees,->,LTV
